source_sentence,pred,gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the swiss alps are located in the canton of ticino in switzerland. there is a mountain range.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for dortmund sc. lrb born november rrb.,Horst K ppel LRB born May RRB is a former German football player.
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of organisms can be made of different kinds of water lrb e. g. g g. e. lrb g rrb rrb.,Different phases are different because their optical properties are different.
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s book is the first book written by person. it was published in number.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in th century a monk went to a monastery in thuringia where he went to heaven.,Births
is a video game based on Dancing with the Stars.,it is a dance dance game made by a dance band called dancing.,Jive
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the university of cambridge lrb dr. person rrb is the head of the college of medicine.,Head of the Department of Diagnostic Medicine.
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was about number km lrb number km rrb long rrb and about number billion years ago lrb million years ago.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling federation lrb wwe rrb was a world heavyweight wrestling championship in the united states. it was one of the main events in the world wide wrestling federation.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,it is the name of the world s main continents and the largest continent of the u. s. s and the eastern hemisphere.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,LOCATION is twinned with 
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,in an analog signal lrb rrb is the output of a serial port lrb or transistor rrb that is connected to a random port.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are known to be known as the german ratchetz lrb also known as german schlozen rrb. it is thought to have been invented by person who was known as ratchets.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in budapest hungary and was born on november.,Henryk started to learn the piano from his mother when he was five.
a.k.a. Pro Player Park LRB RRB ,park lrb born rrb is a former japanese football player.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.
He published partial research results in a NUMBER book.,he published a number of papers in a number number published in number.,He published some of his research in a NUMBER book.
PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born number september number rrb was a spanish politician and politician. he was the mayor of location.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.
He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team and has played for the japanese national team.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.
More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,the organization wants to protect the population in the location as well as the location and the location.,There were NUMBER American military people but now there are about NUMBER.
In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in modern greek philosophy philosophy is the philosophy of philosophy and philosophical philosophy.,In modern usage sophism sophist and sophistry are derogatory terms due the influence of many philosophers in the past LRB sophism and platonism were enemy schools RRB.
Cadmium iodide CdI is a chemical compound of cadmium and iodine.,cadmium is a chemical chemical compound that is the lead element of lead. it is used as a protective chemical compound.,Cadmium iodide is a chemical compound. Its chemical formula is CdI.
In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a referee lrb also known as a referee rrb is a professional wrestler that is a team of two wrestlers who are one or more wrestlers lrb a team rrb and two doubles wrestlers.,In professional wrestling a tag team is a team of two wrestlers who are working together as a team LRB more than two is called a stable RRB.
One day when the pianist failed to arrive by show time PERSON took his place.,after his return to location person performed a show when he was not performing.,One day when the pianist did not arrive in time for the show PERSON played instead.
His replacement was PERSON leaving the band with the line up they retain.,person left the band after the band s leaving the band.,PERSON was his replacement.
According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,the organization lrb number rrb is one of the most important books in the history of the organization.,Instead he started his own barnstorming team the ORGANIZATION.
He bled to death after about an hour.,he died of a fever and died of an hour.,Fechter bled to death after about an hour.
The first inhabitants settled in the territory of today s Ain about B.C..,in the th century the settlement started in the mid s.,The first inhabitants of the Ain arrived around B.C..
Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in the united states the film was awarded an emmy award for best drama series in. it won two emmy awards for best dramatic drama drama drama.,It won many awards including the Emmy Award for outstanding drama series in and best American import at the British Academy Television Awards also in.
The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,in number the number number championship was held at the number location in location. it was the first time that the number lrb number rrb was held in number.,The Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB. None of the regular Indy drivers raced in Formula One.
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,the series was created by the canadian television network canadian broadcasting corporation and the television network of canada.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.
Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,person lrb german district rrb is a district in the district of location in location location.,Wartburgkreis is a Landkreis LRB rural district RRB in the west of LOCATION LOCATION.
For example many different things can be red.,some of them can be made into different colors.,For example many different things can be the color red.
Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,the album was released on april in the united states and canada on june in canada and canada.,Afrodisiac is the fourth studio album by American R B O pop singer Brandy released by Atlantic Records on June outside North America and on June LRB see in music RRB in Canada and the United States.
Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born on june number number in location location.,PERSON was born in LOCATION LOCATION LOCATION.
The second place rider PERSON became the race s official winner.,person s first race was the first race of the person s team.,As PERSON forfeited his Tour title the second place rider PERSON became the race s official winner.
Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,the town is a small town in the united kingdom. it is home to the town of coventry who play for the coventry saints.,Northampton Town F.C. is an English football club.
Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,he wrote a grammar of greek classical mythology lrb latin latin rrb.,Works by Cicero
The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,in the history of location people in location are still people in the towns of location.,Companies such as LOCATION and PERSON are still based in the town.
In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in a study of animals in a range of animals reported that there were an estimated number of animals living on the island of papua which were reported by a team of researchers.,In February of an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.
A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,a hydrothermal vent is a type of lake that is usually found in shallow water near the bottom of the sea.,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich liquids leak out of the Earth s crust often in the form of a brine pool.
As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,this means that the original value of the data is the same as the original original value and therefore the resulting result is correct.,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and decode the original data.
The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,it is found in the region of location in the u. s.. lrb about km rrb of location.,The Retezat Mountains have many glacial lakes. The largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB is in these mountains.
They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were the most famous bands from the late s and early s.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks.
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,in the united states the first international games were held in the city of location.,From that time the Games are held every four years.
The actual confidence interval is calculated by entering the measured masses in the formula.,the measured mean of the gas is measured by the method used by the actual measurements in the ersatz.,The actual confidence interval is calculated by entering the measured weights in the formula.
If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,when the player s choice to move back to the game if they do wrong wrong if they turn up.,If the lock does n t open it means they ve counted wrong and they can go back and fix their mistakes.
In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,he was also the main lead villain in the movie directed by person.,PERSON wrote all six Rocky films He also wrote Cobra Driven and Rambo.
Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,monteiro lrb born july rrb is a brazilian football player.,Edino Nazareth Filho LRB born June RRB is a former Brazilian football player.
PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,she was the eldest daughter of person and the eldest child of person.,PERSON the youngest daughter of Mr. and Mrs. PERSON.
He has reported for Independent Television News LRB ITN RRB.,he has worked for bbc radio and television television including bbc radio n t lrb rrb and the independent newspaper.,He has reported for Independent Television News.
LOCATION is a chemical element with the symbol Sg and atomic number NUMBER.,location is the atomic number and its atomic number is number.,It has the symbol ORGANIZATION. It has the atomic number NUMBER.
