,source_sentence,simplified_sentence,dae_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the swiss alps are located in the canton of ticino in switzerland. there is a mountain range.,0.9540911912918091
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for dortmund sc. lrb born november rrb.,0.9949386119842529
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,0.9997844696044922
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of organisms can be made of different kinds of water lrb e. g. g g. e. lrb g rrb rrb.,0.6432780623435974
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s book is the first book written by person. it was published in number.,0.2645021975040436
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in th century a monk went to a monastery in thuringia where he went to heaven.,0.4126204550266266
6,is a video game based on Dancing with the Stars.,it is a dance dance game made by a dance band called dancing.,0.9998171925544739
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the university of cambridge lrb dr. person rrb is the head of the college of medicine.,0.9976018071174622
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was about number km lrb number km rrb long rrb and about number billion years ago lrb million years ago.,0.2930193543434143
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling federation lrb wwe rrb was a world heavyweight wrestling championship in the united states. it was one of the main events in the world wide wrestling federation.,0.3888278901576996
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,it is the name of the world s main continents and the largest continent of the u. s. s and the eastern hemisphere.,0.9996017813682556
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,0.9997442960739136
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,in an analog signal lrb rrb is the output of a serial port lrb or transistor rrb that is connected to a random port.,0.8432118892669678
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are known to be known as the german ratchetz lrb also known as german schlozen rrb. it is thought to have been invented by person who was known as ratchets.,0.9918971061706543
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in budapest hungary and was born on november.,0.0008803921518847346
15,a.k.a. Pro Player Park LRB RRB ,park lrb born rrb is a former japanese football player.,0.9982935786247253
16,He published partial research results in a NUMBER book.,he published a number of papers in a number number published in number.,0.2819529175758362
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born number september number rrb was a spanish politician and politician. he was the mayor of location.,0.9955627918243408
18,He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team and has played for the japanese national team.,0.701163113117218
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,the organization wants to protect the population in the location as well as the location and the location.,0.12456154078245163
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in modern greek philosophy philosophy is the philosophy of philosophy and philosophical philosophy.,0.08488953858613968
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,cadmium is a chemical chemical compound that is the lead element of lead. it is used as a protective chemical compound.,0.015052207745611668
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a referee lrb also known as a referee rrb is a professional wrestler that is a team of two wrestlers who are one or more wrestlers lrb a team rrb and two doubles wrestlers.,0.9998714327812195
23,One day when the pianist failed to arrive by show time PERSON took his place.,after his return to location person performed a show when he was not performing.,0.9623618721961975
24,His replacement was PERSON leaving the band with the line up they retain.,person left the band after the band s leaving the band.,0.6479495763778687
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,the organization lrb number rrb is one of the most important books in the history of the organization.,0.0018168085953220725
26,He bled to death after about an hour.,he died of a fever and died of an hour.,0.7524452805519104
27,The first inhabitants settled in the territory of today s Ain about B.C..,in the th century the settlement started in the mid s.,0.9409594535827637
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in the united states the film was awarded an emmy award for best drama series in. it won two emmy awards for best dramatic drama drama drama.,0.991683840751648
29,The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,in number the number number championship was held at the number location in location. it was the first time that the number lrb number rrb was held in number.,0.6264907121658325
