source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many elevations in the Grison Alps, including the Tödi at and the highest peak Piz Bernina at.","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .",0,0.851226366,0.991957605,-0.497527212,0.854569613,0.962026358,-1.677680254
"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst K ppel -LRB- born 17 May 1948 -RRB- is a former German football player.,Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,1,0.374085531,0.999736071,-2.028441668,0.388560222,0.999825418,-1.929749608
"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player. He plays for ORGANIZATION@1 and LOCATION@2 national team.,"PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",2,0.619799661,0.999940038,-1.059951067,0.595498847,0.990742862,-1.966666698
"There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefringence -RRB-.",Different phases are different because their optical properties are different .,3,0.965421291,0.999922335,-0.564989388,0.832436927,0.997089386,-3.366828918
"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","Producer and screenwriter PERSON@1 is the novel's author's son, and his name was featured on its dedication page.",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,4,0.913501,0.999933004,-0.89249289,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill claims that Saint Julian took him on a tour of Purgatory.,Births,5,0.844072806,0.999618948,-0.639102876,0.666370006,0.0,-7.810195446
is a video game based on Dancing with the Stars .,is a video game based on Dancing with the Stars.,Jive,6,0.94433656,0.999830067,-1.016891479,0.750609807,0.0,-8.411913872
"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Dr. Gregory House -LRB- Hugh Laurie -RRB- is the head of the Department of Diagnostic Medicine.,Head of the Department of Diagnostic Medicine .,7,0.776210304,0.975789666,-0.864841521,0.699715314,0.797706306,-1.866250515
"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-, and ended roughly NUMBER@3 billion years ago.","It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",8,0.61547082,0.999893844,-0.74806571,0.618066695,0.994385719,-1.498873353
"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","The Attitude Era was a time in the World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars, a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB-, and culminated at the end of the wars","December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",9,0.923842698,0.0,-0.755568564,0.748192222,0.0,-5.156509876
"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurentia -LRB- i.e. the core North American continent -RRB-, Baltica, Siberia, Kazakhstania, and the North China and East China cratons -RRB-.","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .",10,0.300359391,0.0,-1.105603337,0.323640748,0.0,-1.623785138
"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",LOCATION@1 is a commune of the Nord.,LOCATION@1 is twinned with :,11,0.33441389,0.565446973,-2.371013641,0.316167419,0.01888036,-3.464788198
"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing, a serial port is a physical interface for data transfers one bit at a time through a serial communication.","In computing , a serial port is a serial communication physical interface through which information transfers , either in or out , one bit at a time -LRB- in contrast with parallel port -RRB- .",12,0.620428858,0.957105041,-1.467036128,0.669161246,0.997556448,-1.368359447
"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .","It is part of the German Spitz breed, and in many countries they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB-, or Toy German PERSON@1.",The Pomeranian is a dog from LOCATION@1 -LRB- in LOCATION@2 and LOCATION@3 -RRB- .,13,0.68191878,0.996681869,-0.760204256,0.599540273,0.077601641,-3.130821705
"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","He started piano and harmony training with his mother when he was 5, and at age 7 turned to the violin, getting instruction from Maurice Frenkel.",Henryk started to learn the piano from his mother when he was five .,14,0.8939583,0.975522339,-0.788478494,0.840130383,0.999315143,-3.533702374
a.k.a. Pro Player Park -LRB- -RRB-,A.k.a. Pro Player Park -LRB- -RRB-,"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",15,0.998904467,0.997136891,-1.672189474,0.814329445,0.003990107,-4.749712944
He published partial research results in a NUMBER@1 book .,He published partial research results in a NUMBER@1 book.,He published some of his research in a NUMBER@1 book .,16,0.948829663,0.999903023,-1.081705809,0.932265382,0.960930467,-1.973982692
