,source_sentence,simplified_sentence,dae_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the canton of glarus is the piz pizner in switzerland and the highest peak in switzerland.,0.9968752264976501
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,hans schle lrb born july rrb is a former german football player.,0.9969546794891357
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,0.9935529828071594
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they can also be seen as different colors of light.,0.18651501834392548
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,his son s name is person s son and son s son s author s son lrb son rrb.,0.17119930684566498
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,births occur in location and location.,8.034173515625298e-05
6,is a video game based on Dancing with the Stars.,jive jive is a jive series.,0.005543351173400879
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,dr. person is head of the department of medicine at the university of location.,0.051637399941682816
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was formed about number billion years ago at the time of the formation of the location lrb about number million years ago rrb.,0.9986559748649597
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,person as person person mcmahon mcmahon defeated person on april number number at the mcmahon rumble on the raw event.,0.015654483810067177
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the world s largest continent lrb including the northern hemisphere rrb is the largest continent in the world including the southern hemisphere s northern hemisphere lrb antarctica rrb the great divide between the continents of asia and north america rrb.,0.9978393316268921
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,location is twinned with location. it is twinned to location.,0.004998400807380676
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,compressing a write is a process in which a computer is transmitted to another computer at a time. computing is also used to transfer data between a physical physical device.,0.9953432679176331
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the location is a fictional dog from location location location.,0.0009659971110522747
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he learned to play piano when he was six years old when he played piano.,0.3479553461074829
15,a.k.a. Pro Player Park LRB RRB ,the organization are a organization in location location location.,0.0006502973265014589
16,He published partial research results in a NUMBER book.,he wrote a number of articles about his work in number.,0.996830940246582
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person person lrb may number number may number rrb was a spanish poet and poet. he lived in location location location.,0.82990562915802
18,He currently plays for the Japanese team Yokohama F. Marinos.,enohito nishimoto lrb born may rrb is a former japanese football player.,0.028220411390066147
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,people who lived there were about number people. there are about number american soldiers.,0.00035665975883603096
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in latin america lrb latin american schools rrb is one of the most popular schools of modern day and is considered as an antisticsticist.,0.6461206674575806
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is made by reacting the chemical compound iodide.,0.9735278487205505
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a team is a team of two wrestlers lrb usually called a tag team rrb lrb two tag team teams rrb.,0.9044831991195679
23,One day when the pianist failed to arrive by show time PERSON took his place.,during the show person played the piano at the end of the show the pianist was not allowed to play it.,0.9962260723114014
24,His replacement was PERSON leaving the band with the line up they retain.,person was replaced by person. person replaced person.,0.0094450106844306
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,he started the organization as a team with the organization.,0.00017005502013489604
26,He bled to death after about an hour.,he died of a fever and died on august.,0.0029101225081831217
27,The first inhabitants settled in the territory of today s Ain about B.C..,the first inhabitants lived in the area from c.. bc.,0.9954511523246765
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in he won an emmy award for best original play in the united kingdom and won an academy award in television drama in and in two other awards.,0.9990851879119873
29,The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,the number championship was the first race of the number formula one championship. the race was held between number and number at number.,0.4876556694507599
30,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,the game is made by chocolate factory and is produced by cookie jar. it is the first game made by organization.,0.0014659331645816565
31,Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,location is a district of location in the north west of location lrb modern location rrb.,0.47884321212768555
32,For example many different things can be red.,the color of colors can be different from red or red.,0.9692228436470032
33,Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,the album was released on june in canada on the united states and canada on june and in the united kingdom.,0.9576213955879211
34,Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born in location location. he was born location in location.,0.5559192299842834
35,The second place rider PERSON became the race s official winner.,person s team won the race and person s first time the race was in number.,0.9894024133682251
36,Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,f. f. c. is a football club that plays in england.,0.9965455532073975
37,Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,history of trojans by shakespeare and others are known by the romans.,0.0011290572583675385
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,the town of location was founded in number by person in location.,0.2853887379169464
39,In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in the early days of the unsciences a group of people living in the kara karakorum region of the u. s. territory were found by a team of tibetans in an expedition to find the missing whales.,0.9987824559211731
40,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,the deep water is a part of the deep ocean that is mostly filled with water lrb water rrb that is found in the deepest parts of the ocean.,0.9997257590293884
41,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,however the algorithm is now known as the correct algorithm because the original algorithm was used to correct the errors and therefore the resulting result could not be correct.,0.3852730393409729
42,The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,the lake is the largest lake in the region of suceava. there are four lake lakes in the province of laci lac cucucururu lacu laca.,0.6214168667793274
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were influenced by the beatles and the beatles. they were inspired by the music of the beatles who were also from the bands.,0.9997479319572449
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,the games are held every year from to.,0.00041901133954524994
45,The actual confidence interval is calculated by entering the measured masses in the formula.,the formula is calculated from the confidence in the confidence intervals. the confidence is calculated by weighing the weight of the weights.,0.42255812883377075
46,If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,they do not get it back because they have to lose it because they lost it all time they get back and they lose it again again.,0.10480602830648422
47,In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,he is best known for directing the rocky horror and rocky jones movie rocky.,0.612091600894928
48,Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,stefani lrb born july rrb is a former brazilian football player.,0.9998422861099243
49,PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,person is the oldest daughter of person and his second wife person.,0.9996885061264038
50,He has reported for Independent Television News LRB ITN RRB.,he has been a commentator for bbc two news for the bbc.,0.9316208958625793
