source_sentence,pred,sentence_id,Coherence,All entities mentioned in the source sentence are present in the simplified sentence,All entities mentioned in the simplified sentence are present in the source sentence,Factually consistent,Sufficiently Simplified,Total
Edguy s lyrics are often metaphorical alluding to metaphysical or social themes conformity LRB The Headless Game Mysteria King of Fools RRB dictation by the church LRB The Kingdom The Pride of Creation Theater of Salvation RRB and dangers of modern civilization LRB Navigator The Devil and the Savant RRB.,lrb o o o rrb,833,0,0,0,0,0,0
Anhydrous chromium LRB III RRB chloride may be prepared by chlorination of chromium metal directly or indirectly by chlorination of chromium LRB III RRB oxide in the presence of carbon at NUMBER C with carbon monoxide as a side product PERSON Complexes and First Row Transition Elements ORGANIZATION LOCATION NUMBER.,lrb i rrb ii rrb,2359,0,0,0,0,0,0
The People s Republic of China LRB PRC RRB established in commonly known as China has control over mainland China and the largely self governing territories of Hong Kong LRB since RRB and Macau LRB since RRB.,p. p. r. d..,5353,0,0,0,0,0,0
The discography of English rock band ORGANIZATION consists of NUMBER studio albums LRB one of which is a mixture of live and studio RRB three live albums LRB not re counting the mixed album RRB six compilations three box sets one EP NUMBER singles NUMBER music videos and four video albums.,rc rcb lrb rcb rcb,726,0,0,0,0,0,0
He then became a New York Times best selling author of books for children and teens known for writing the Artemis Fowl series LRB which consists so far of books RRB Half Moon Investigations The Wish List and The Supernaturalist along with the Eoin Colfer The Legend of... books.,lrb o rrb o o o. rrb,2913,0,0,0,0,0,0
West released his debut album The College Dropout in NUMBER his second album Late Registration in NUMBER his third album Graduation in NUMBER and his fourth album NUMBER Heartbreak in NUMBER.,lrb o o o rrb,3358,0,0,0,0,0,0
PERSON has also worked in film in recent years directing the films Titus in NUMBER LRB an adaptation of the play Titus Andronicus by PERSON RRB and PERSON in NUMBER LRB a movie based on the life of artist PERSON RRB.,lrb o o o rrb,4151,0,0,0,0,0,0
Roger Charles Louis Guillemin LRB born January in Dijon Bourgogne France RRB received the National Medal of Science in and the Nobel prize for medicine in for his work on neurohormones sharing the prize that year with Andrew Schally and Rosalyn Sussman Yalow.,andrew o o. o o o rrb,1116,0,0,0,0,1,1
His early movies the shorts The Forbidden and Salome are experimental art movies with surrealist elements which have been re released together to moderate critical acclaim.,lrb o rrb rrb,4674,0,0,0,0,0,0
PERSON was released in NUMBER and the album received numerous awards including a ORGANIZATION and a Latin Billboard as well as receiving nominations for the Latin Grammy and ORGANIZATION Video Music Awards.,person lrb o o o rrb,4139,0,0,0,0,0,0
This warning was discontinued within NUMBER hours.,pred,68,0,0,0,0,0,0
PERSON MTV Unplugged was released by ORGANIZATION on November NUMBER NUMBER in both separate CD and DVD formats and in May NUMBER was re released together in a CD DVD combo package.,dvd lrb dvd rrb.,4755,0,0,0,0,0,0
Costume may also refer to the artistic arrangement of accessories in a picture statue poem or play appropriate to the time place or other circumstances represented or described or to a particular style of clothing worn to portray the wearer as a character or type of character other than their regular persona at a social event such as a masquerade a fancy dress party or in an artistic theatrical performance.,they are known for their fashions.,3531,1,0,1,1,1,4
The traditional site of inauguration for The O Neill was Tullyhogue Fort an Iron Age mound some four miles northeast of Dungannon.,u. s. o. d.,2767,0,0,0,0,0,0
Year NUMBER LRB MDCCCXXXIX RRB was a common year starting on Tuesday LRB link will display the full calendar RRB of the Gregorian Calendar LRB or a common year starting on Sunday of the day slower PERSON calendar RRB.,regisline lrb d. rrb,1594,0,0,0,0,1,1
In the fall of he entered the Friedrichskolleg Gymnasium LRB Collegium fridericianum the same school that Immanuel Kant had attended years before RRB but after an unhappy duration he transferred LRB fall RRB to and graduated from LRB spring RRB the more science oriented Wilhelm Gymnasium.,the glam men tt tte tt tt tt.,3869,0,0,0,0,1,1
Soon after Jacques was summoned to London to meet with the publishers who gave him a contract to write the next five books in the series.,lrb o o o rrb,4840,0,0,0,0,0,0
ndash James Madison introduces twelve proposed amendments to the United States Constitution in the House of Representatives by ten of them are ratified by the state legislatures and become the Bill of Rights another is eventually ratified in to become the th Amendment.,robert wagner lrb died rrb,5254,1,0,0,1,1,3
Dungannon is classified as a medium town by the NI Statistics and Research Agency LRB NISRA RRB LRB i.e. with population between and people RRB.,u. n. nis ni nis,428,0,0,0,0,0,0
In the UK it was the first of four Osbourne albums to attain Silver certification LRB units sold RRB by the British Phonographic Industry achieving this in August.,lrb o rrb lrb rrb,6365,0,0,0,0,0,0
PERSON LRB born February NUMBER NUMBER RRB is an American film actor director and producer better known for his film roles as PERSON in The Goonies the title character of PERSON and PERSON in the Lord of the Rings trilogy.,the o o ooh rrb lrb o rrb,2650,0,0,0,0,0,0
Historically a great number of coinage metals LRB including alloys RRB and other materials have been used practically artistically and experimentally in the production of coins for circulation collection and metal investment where bullion coins often serve as more convenient stores of assured metal quantity and purity than other bullion.Com prehensive list of metals and their alloys which have been used at various times in coins for all types of purposes.,it is kept mainly in the collection of collectors.,857,1,0,0,0,1,2
A graph may be undirected meaning that there is no distinction between the two vertices associated with each edge or its edges may be directed from one vertex to another see graph LRB mathematics RRB for more detailed definitions and for other variations in the types of graphs that are commonly considered. The graphs studied in graph theory should not be confused with graphs of functions or other kinds of graphs.,mathematics is a field of study in mathematics.,2824,1,0,1,1,1,3
Boutros Boutros Ghali LRB Arabic Coptic B RRB LRB born November RRB is an Egyptian diplomat who was the sixth Secretary General of the United Nations LRB UN RRB from January to December.,attex com. com com.,3639,0,0,0,0,0,0
An abortion can occur spontaneously due to complications during pregnancy or can be induced in humans and other species. In the context of human pregnancies an abortion induced to preserve the health of the gravida LRB pregnant female RRB is termed a therapeutic abortion while an abortion induced for any other reason is termed an elective abortion.,a pregnancy is usually called a pregnancy.,1432,1,0,0,0,1,2
It is the UK s oldest extant symphony orchestra LRB and the fourth oldest in the world RRB supports a choir and a youth orchestra and releases its recordings on its own record label though it has occasionally released recordings on Angel Records and EMI.,john b. gillier mp mp lrb d. rrb,2242,0,0,0,0,1,1
A much smaller but important market for chlorine dioxide is for use as a disinfectant. Since a growing proportion of the chlorine dioxide made globally for water treatment and other small scale applications has been made using the chlorate hydrogen peroxide and sulfuric acid method which can produce a chlorine free product at high efficiency.,it is made from chlorates and bromine.,4820,1,0,0,0,1,2
The band members hung out regularly at two clothing shops on Kings Road in London s Chelsea neighborhood John Krivine and Steph Raynor s Acme Attractions LRB where Don Letts worked as manager RRB Strongman Phil Pretty Vacant p. Savage Jon England s Dreaming p..,john john john b. john john.,4157,0,0,0,0,1,1
