,source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,new_pred_sentences,new_src_sentence
0,"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many elevations in the Grison Alps, including the Tödi at and the highest peak Piz Bernina at.","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .",0,0.851226366,0.991957605,-0.497527212,0.854569613,0.962026358,-1.677680254,There are many elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at
1,"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst K ppel -LRB- born 17 May 1948 -RRB- is a former German football player.,Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,1,0.374085531,0.999736071,-2.028441668,0.388560222,0.999825418,-1.929749608,Horst K ppel LRB born 17 May 1948 RRB is a former German football player,Horst K ppel LRB born on May 17 1948 in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt 04
2,"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player. He plays for ORGANIZATION@1 and LOCATION@2 national team.,"PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",2,0.619799661,0.999940038,-1.059951067,0.595498847,0.990742862,-1.966666698,PERSON@1 LRB born NUMBER@1 March NUMBER@2 RRB is a Dutch football player He plays for ORGANIZATION@1 and LOCATION@2 national team,PERSON@1 Roy PERSON@2 LRB born NUMBER@1 March NUMBER@2 in LOCATION@1 LOCATION@2 RRB is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill claims that Saint Julian took him on a tour of Purgatory.,Births,5,0.844072806,0.999618948,-0.639102876,0.666370006,0.0,-7.810195446,A peasant named Thurkhill claims that Saint Julian took him on a tour of Purgatory,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory
7,"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Dr. Gregory House -LRB- Hugh Laurie -RRB- is the head of the Department of Diagnostic Medicine.,Head of the Department of Diagnostic Medicine .,7,0.776210304,0.975789666,-0.864841521,0.699715314,0.797706306,-1.866250515,Dr Gregory House LRB Hugh Laurie RRB is the head of the Department of Diagnostic Medicine,Dr Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine
8,"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-, and ended roughly NUMBER@3 billion years ago.","It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",8,0.61547082,0.999893844,-0.74806571,0.618066695,0.994385719,-1.498873353,It started at LOCATION@1 s formation about NUMBER@1 billion years ago LRB NUMBER@2 Ma RRB and ended roughly NUMBER@3 billion years ago,It started at LOCATION@1 s formation about NUMBER@1 billion years ago LRB NUMBER@2 Ma RRB and ended roughly NUMBER@3 billion years ago though the latter date varies according to different sources
9,"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","The Attitude Era was a time in the World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars, a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB-, and culminated at the end of the wars","December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",9,0.923842698,0.0,-0.755568564,0.748192222,0.0,-5.156509876,The Attitude Era was a time in the World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the end of the wars,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER@1
10,"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurentia -LRB- i.e. the core North American continent -RRB-, Baltica, Siberia, Kazakhstania, and the North China and East China cratons -RRB-.","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .",10,0.300359391,0.0,-1.105603337,0.323640748,0.0,-1.623785138,Laurentia LRB i e the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons RRB,The name combines the names of Laurentia the name given to the North American craton and Eurasia As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i e the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons
11,"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",LOCATION@1 is a commune of the Nord.,LOCATION@1 is twinned with :,11,0.33441389,0.565446973,-2.371013641,0.316167419,0.01888036,-3.464788198,LOCATION@1 is a commune of the Nord,LOCATION@1 LRB RRB is a commune in the Nord department in northern LOCATION@2
12,"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing, a serial port is a physical interface for data transfers one bit at a time through a serial communication.","In computing , a serial port is a serial communication physical interface through which information transfers , either in or out , one bit at a time -LRB- in contrast with parallel port -RRB- .",12,0.620428858,0.957105041,-1.467036128,0.669161246,0.997556448,-1.368359447,In computing a serial port is a physical interface for data transfers one bit at a time through a serial communication,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB
