source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,there are many mountains in the canton of berna in switzerland and the highest mountains in switzerland.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.759521435,0.865749121,-3.808991671,0.854569613,0.962026358,-1.677680254
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for stuttgart f c. c. lrb b. rrb.,Horst K ppel LRB born May RRB is a former German football player.,1,0.464475961,0.99527365,-4.558939457,0.388560222,0.999825418,-1.929749608
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a dutch football player. he plays for organization and location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.611532418,0.999926209,-3.989911318,0.595498847,0.990742862,-1.966666698
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of optical fibers are possible to be made of two different kinds of air molecules lrb i rrb which can be made up of different colors rrb.,Different phases are different because their optical properties are different.,3,0.859235525,0.998318791,-4.308337688,0.832436927,0.997089386,-3.366828918
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s son is person. he is the author of the film person s end.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.50247674,0.999634326,-4.451712132,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,he spent much of his life in the th century and died of a heart attack in london.,Births,5,0.705638156,0.000183121,-3.962025404,0.666370006,0,-7.810195446
is a video game based on Dancing with the Stars.,it is a dance of dancing with dancing on the dancing floor.,Jive,6,0.805140197,0.113346912,-3.578872681,0.750609807,0,-8.411913872
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the house of medicine is a house of the housewives.,Head of the Department of Diagnostic Medicine.,7,0.398658395,0.000855272,-4.687673092,0.699715314,0.797706306,-1.866250515
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,after about number years old it started forming around number km lrb number billion years ago rrb.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.44081315,0.98242116,-4.961805344,0.618066695,0.994385719,-1.498873353
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world heavyweight championship lrb wwe rrb was a professional wrestling event in the world wrestling entertainment lrb organization rrb.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.292615091,0.995220602,-5.132811546,0.748192222,0,-5.156509876
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the northern part of the world is called the northern hemisphere lrb also called the north and northern hemispheres rrb.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,10,0.252337033,0.999503136,-3.836846828,0.323640748,0,-1.623785138
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,LOCATION is twinned with ,11,0.810457945,0.999744296,-5.302174091,0.316167419,0.01888036,-3.464788198
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a connection is a connection between a connection and a serial port lrb usually called a serial connection rrb.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,12,0.565211505,0.958141387,-4.015965462,0.669161246,0.997556448,-1.368359447
