source_sentence,pred,gold,bert_score_precision_pred_with_brevity_penalty,sentence_id,bert_precision_gold_with_brevity_penalty
"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many elevations in the Grison Alps, including the Tödi at and the highest peak Piz Bernina at.","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .",0.8512263661724025,0,0.854569612923315
"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst K ppel -LRB- born 17 May 1948 -RRB- is a former German football player.,Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,0.374085531331772,1,0.38856022233186766
"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player. He plays for ORGANIZATION@1 and LOCATION@2 national team.,"PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",0.6197996606531831,2,0.5954988469782564
"There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefringence -RRB-.",Different phases are different because their optical properties are different .,0.9654212912468061,3,0.8324369273773611
"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","Producer and screenwriter PERSON@1 is the novel's author's son, and his name was featured on its dedication page.",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,0.9135010003024696,4,0.9618236172912468
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill claims that Saint Julian took him on a tour of Purgatory.,Births,0.84407280558034,5,0.6663700059840554
is a video game based on Dancing with the Stars .,is a video game based on Dancing with the Stars.,Jive,0.9443365603077168,6,0.7506098066057477
"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Dr. Gregory House -LRB- Hugh Laurie -RRB- is the head of the Department of Diagnostic Medicine.,Head of the Department of Diagnostic Medicine .,0.7762103037791209,7,0.6997153136107299
"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-, and ended roughly NUMBER@3 billion years ago.","It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",0.6154708202602794,8,0.6180666951299871
"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","The Attitude Era was a time in the World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars, a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB-, and culminated at the end of the wars","December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",0.9238426981923672,9,0.7481922216426867
"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurentia -LRB- i.e. the core North American continent -RRB-, Baltica, Siberia, Kazakhstania, and the North China and East China cratons -RRB-.","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .",0.3003593908080572,10,0.3236407477644425
"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",LOCATION@1 is a commune of the Nord.,LOCATION@1 is twinned with :,0.3344138900885421,11,0.31616741887639077
"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing, a serial port is a physical interface for data transfers one bit at a time through a serial communication.","In computing , a serial port is a serial communication physical interface through which information transfers , either in or out , one bit at a time -LRB- in contrast with parallel port -RRB- .",0.620428858132198,12,0.6691612457406932
"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .","It is part of the German Spitz breed, and in many countries they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB-, or Toy German PERSON@1.",The Pomeranian is a dog from LOCATION@1 -LRB- in LOCATION@2 and LOCATION@3 -RRB- .,0.6819187795928635,13,0.5995402729324021
"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","He started piano and harmony training with his mother when he was 5, and at age 7 turned to the violin, getting instruction from Maurice Frenkel.",Henryk started to learn the piano from his mother when he was five .,0.8939582999650535,14,0.8401303825440345
a.k.a. Pro Player Park -LRB- -RRB-,A.k.a. Pro Player Park -LRB- -RRB-,"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",0.9989044666290283,15,0.8143294453620911
He published partial research results in a NUMBER@1 book .,He published partial research results in a NUMBER@1 book.,He published some of his research in a NUMBER@1 book .,0.9488296632109017,16,0.9322653823885424
"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a politician and writer of the Baroque era.","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .",0.8792816017155356,17,0.9011240304915559
He currently plays for the Japanese team Yokohama F. Marinos .,He plays for Yokohama F. Marinos.,Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,0.4980197212388438,18,0.4344316115302424
More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.,"There were NUMBER@1 American military people , but now there are about NUMBER@2 .",0.9770973751453754,19,0.8100031542647732
"In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","In modern usage, sophism, sophist, and sophistry are derogatory terms, due to the influence of many past philosophers.","In modern usage , sophism , sophist , and sophistry are derogatory terms , due the influence of many philosophers in the past -LRB- sophism and platonism were enemy schools -RRB- .",0.9092331000459872,20,0.9326527196217359
"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","Cadmium iodide, CdI2, is a chemical compound.",Cadmium iodide is a chemical compound . Its chemical formula is CdI2 .,0.584040858915874,21,0.5881498115403312
"In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","In professional wrestling, a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB-.","In professional wrestling , a tag team is a team of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .",0.9573144063557664,22,0.9785693769585596
"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .",One day PERSON@1 took his place.,"One day , when the pianist did not arrive in time for the show , PERSON@1 played instead .",0.3271164894104004,23,0.3640452112470354
His replacement was PERSON@1 leaving the band with the line-up they retain .,His replacement was PERSON@1 leaving the band with the line-up they keep.,PERSON@1 was his replacement .,0.9309666807714262,24,0.8046543731501228
"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.,"Instead , he started his own barnstorming team , the ORGANIZATION@2 .",0.6507040787451338,25,0.549414850697659
He bled to death after about an hour .,He bled to death after about an hour.,Fechter bled to death after about an hour .,0.9426489990008505,26,0.9531626450388055
The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants settled in the territory of todays Ain about 1500 B.C..,The first inhabitants of the Ain arrived around 15000 B.C. .,0.8972691157717764,27,0.8899657130241394
"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","Lost has won many awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, and the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006.",It won many awards including the Emmy Award for outstanding drama series in 2005 and best American import at the British Academy Television Awards also in 2005 .,0.5561483656658845,28,0.5331751056278453
"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","The track s reputation improved so much that the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-, even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1's PERSON@1 of the NUMBER@4 drivers at the time won the NUMBER@5.",The 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- . None of the regular Indy drivers raced in Formula One .,0.9537857489765815,29,0.8942465422288427
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,0.9745850251681769,30,0.9361557435633531
"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.","Wartburgkreis is a Landkreis -LRB- rural district -RRB- in the west of LOCATION@1 , LOCATION@2 .",0.6821621160828666,31,0.712776749321584
"For example , many different things can be red .","For example, many different things can be red.","For example , many different things can be the color red .",0.896399532755216,32,0.9460536638895671
"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American singer Brandy, released by Atlantic Records on June 28, 2004 on most international territories and on June 29, 2004 in Canada and the United States.","Afrodisiac is the fourth studio album by American R&B \/O/ pop singer Brandy , released by Atlantic Records on June 28 , 2004 outside North America and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .",0.7913674152102963,33,0.8316057344962811
"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.","PERSON@2 was born in LOCATION@1 , LOCATION@4 , LOCATION@5 .",0.7697944930105498,34,0.7468397761836196
"The second place rider , PERSON@1 , became the race 's official winner .","The second place rider, PERSON@1, became the official winner.","As PERSON@2 forfeited his Tour title , the second place rider , PERSON@1 , became the race 's official winner .",0.7894906062218878,35,0.8116405084729195
"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","Northampton Town Football Club -LRB- -RRB- are an English football club that play in Northampton, Northamptonshire.",Northampton Town F.C. is an English football club .,0.39882985334242543,36,0.3665860417869783
"Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .","Rawson, E. : Cicero, a portrait -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin, thus translating Greek philosophical works for a larger audience.",Works by Cicero,0.9320695058244173,37,0.7540735646349485
The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,The importance of this industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.,Companies such as LOCATION@1 and PERSON@1 are still based in the town .,0.9680828466648008,38,0.8763453718123397
"In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","In February 2006, an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province, Indonesia.","In February of 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .",0.960324510284092,39,0.9857253862463909
"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich liquids leak out of the Earth 's crust , often in the form of a brine pool .",0.7321489726133015,40,0.7595865607854738
"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as enough values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.","As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and decode the original data .",0.9171091710161042,41,0.9406891429184266
"The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .","The Retezat Mountains have many glacial lakes, including the largest glacial lake in Romania, Bucura Lake -LRB- lacul Bucura -RRB-, which covers 8.9 ha and is situated at an altitude of 2030 metres.","The Retezat Mountains have many glacial lakes . The largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- is in these mountains .",0.9553398006033189,42,0.912024451364385
They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were first influenced by The Beatles and other sixties pop groups like The Kinks.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks .,0.9472531852397051,43,0.9747479977932844
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,The idea of holding a Pan American Games started with the Central American Games which were first organized in the 1920s.,"From that time , the Games are held every four years .",0.9743708372116089,44,0.8561957478523254
The actual confidence interval is calculated by entering the measured masses in the formula .,The actual confidence interval is calculated by entering the measured masses in the formula.,The actual confidence interval is calculated by entering the measured weights in the formula .,0.9639386618009178,45,0.9752401818511307
"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock doesn't open, it means they've counted wrong and they can go back and correct their mistakes.","If the lock does n't open , it means they 've counted wrong and they can go back and fix their mistakes .",0.9170214079935616,46,0.9603309467298176
"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky movies, PERSON@1 also wrote Cobra, Driven and Rambo.","PERSON@1 wrote all six Rocky films , He also wrote Cobra , Driven and Rambo .",0.9412706389531984,47,0.9420433928678323
"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edinho, real name Nazareth Filho -LRB- born 5 June 1955 -RRB- was a Brazilian football player.","Edino Nazareth Filho -LRB- born 5 June , 1955 -RRB- is a former Brazilian football player .",0.5854514870150336,48,0.5786805942140776
PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2.,PERSON@3 -- the youngest daughter of Mr. and Mrs. PERSON@2 .,0.9622755475342274,49,0.9216528385877609
He has reported for Independent Television News -LRB- ITN -RRB- .,He has reported for Independent Television News -LRB- ITN -RRB-.,He has reported for Independent Television News .,0.9552310650165265,50,0.8563016451322116
LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,It has the atomic number NUMBER@1.,It has the symbol ORGANIZATION@1 . It has the atomic number NUMBER@1 .,0.35451383292675015,51,0.36768813133239747
'' There is her little Balochi-style face with pouting lips and insolent look in the eyes .,'' There is her little Balochi-style face with pouting lips and insolent look in the eyes.,'' There is her ... pouting lips and insolent look in the eyes .,0.9713828039693309,52,0.9104874631860754
"For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","For example, if the frequency of an allele is 20 % in a population, then among population members, one in five chromosomes will carry that allele.",Allele frequencies may be used to describe genetic diversity in a population . If the frequency of any allele is above 1 % it is probable that natural selection is maintaining it at this level .,0.8857439756393433,53,0.809833668745481
"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work, while changing pressure, temperature, and other state variables, eventually returning a system to its original state.",A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state .,0.9377819655138417,54,0.8854441002968254
"Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.","Her real name was Maria Jansson , but she was always called Kisamor .",0.9667039217648806,55,0.8748740641387193
She later held the title of Duchess of Teck by marriage .,She later held the title of Duchess of Teck by marriage.,She later married the Duke of Teck .,0.955240107419198,56,0.8989099117747524
"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public research university in College Station, Texas.","Texas A&M University is a public university in College Station , Texas .",0.3297342345691644,57,0.33362177444192076
"Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .","Dikes are mostly made using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water, making the barrier potentially unstable in very dry seasons.","Availability of sand ,",0.9752188935337296,58,0.765283456767898
Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.,Italy bought the city in 1905 . They made Mogadiscio -LRB- Italian for Mogadishu -RRB- the capital of Italian Somaliland .,0.9341934748079584,59,0.9176198915503491
Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city in the U.S. state of Iowa.,Maquoketa is a city of Iowa in the United States .,0.5419937836659419,60,0.54052324573715
"Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3 , LOCATION@4 and other cities of LOCATION@5 , LOCATION@6 , and LOCATION@7 , as well as LOCATION@8 .","Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3, LOCATION@4 and other cities of LOCATION@5, LOCATION@6, and LOCATION@7, as well as LOCATION@8.","Many civilians and military officers in LOCATION@1 and the LOCATION@9 moved to LOCATION@4 and other surrounding areas of LOCATION@5 , LOCATION@6 , and LOCATION@7 .",0.9418997125762502,61,0.9225200979333175
"Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","Billericay is a small town in Essex, England.",The,0.41237572208046913,62,0.34580170176923275
PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born NUMBER@1 November NUMBER@1 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist.,PERSON@1 -LRB- born ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist .,0.8337661971981893,63,0.8613903994528239
Kluisbergen is a municipality located in the Belgian province of East Flanders .,Kluisbergen is a municipality located in the Belgian province of East Flanders.,"It is located at 50 46 North , 03 29 East .",0.9640784166753292,64,0.7424960285425186
