source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the swiss alps is the klara glarus.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.472035756,0.998349667,-4.172839642,0.854569613,0.962026358,-1.677680254
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb lrb born november rrb in location rrb.,Horst K ppel LRB born May RRB is a former German football player.,1,0.337968825,0.713760793,-5.621624947,0.388560222,0.999825418,-1.929749608
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.380433863,0.993552983,-4.503818512,0.595498847,0.990742862,-1.966666698
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they are made of different materials.,Different phases are different because their optical properties are different.,3,0.256415444,0.001243584,-3.410284996,0.832436927,0.997089386,-3.366828918
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s father s name was person. he is the son of person.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.501782134,0.040007312,-4.536358833,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,the births of births are listed below.,Births,5,0.397143486,5.59E-05,-5.113619328,0.666370006,0,-7.810195446
is a video game based on Dancing with the Stars.,the second season of the show the spinoff spinoff was a series.,Jive,6,0.90744555,0.000372115,-3.885191917,0.750609807,0,-8.411913872
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the department of medicine is the head of the department for psychiatry.,Head of the Department of Diagnostic Medicine.,7,0.678584954,0.098749168,-3.350310564,0.699715314,0.797706306,-1.866250515
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it is the oldest and oldest at number km lrb number km rrb.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.274868331,0.83934325,-5.034976482,0.618066695,0.994385719,-1.498873353
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,in december person announced that person would take over as head of the wwe championship from person to person on july number number.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.29773334,0.000575453,-5.878587723,0.748192222,0,-5.156509876
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the largest continent of the world is the location lrb location rrb which includes the continents of the continents.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,10,0.261851149,0.99973619,-4.641282558,0.323640748,0,-1.623785138
