,source_sentence,gold,pred,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,source_sent_list,new_pred_sentences,new_src_sentence
0,"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .","There are many significant elevations in the Grison Alps , including the Tdi at and the highest peak Piz Bernina .",0,0.888880891,0.897704303,-1.146493673,0.854569613,0.962026358,-1.677680254,"['There', 'are', 'many', 'significant', 'elevations', 'in', 'the', 'Grison', 'Alps', ',', 'including', 'the', 'Tödi', 'at', 'and', 'the', 'highest', 'peak', 'Piz', 'Bernina', 'at', '.']",There are many significant elevations in the Grison Alps including the Tdi at and the highest peak Piz Bernina,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at
1,"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,"Horst K ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player.",1,0.561552662,0.977782905,-0.624913692,0.388560222,0.999825418,-1.929749608,"['Horst', 'KÃ', 'ppel', '-LRB-', 'born', 'on', 'May', '17', ',', '1948', 'in', 'Stuttgart', ',', 'Germany', '-RRB-', 'is', 'a', 'German', 'football', 'manager', 'and', 'former', 'player', ',', 'who', 'last', 'worked', 'as', 'Head', 'coach', 'for', 'FC', 'Ingolstadt', '04', '.']",Horst K ppel LRB born on May 17 1948 in Stuttgart Germany RRB is a German football manager and former player,Horst K ppel LRB born on May 17 1948 in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt 04
4,"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,"PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .",4,0.727631344,0.999716759,-0.785287499,0.961823617,0.945085585,-0.922254682,"['Producer', 'and', 'screenwriter', 'PERSON@1', 'is', 'the', 'novel', ""'s"", 'author', ""'s"", 'son', ',', 'and', 'his', 'name', 'was', 'featured', 'on', 'its', 'dedication', 'page', '.']",PERSON@1 is the novel s author s son and his name was featured on its dedication page,Producer and screenwriter PERSON@1 is the novel s author s son and his name was featured on its dedication page
7,"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Head of the Department of Diagnostic Medicine .,"Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",7,0.92668621,0.997068226,-0.77804178,0.699715314,0.797706306,-1.866250515,"['Dr.', 'Gregory', 'House', '-LRB-', 'Hugh', 'Laurie', '-RRB-', ',', 'the', 'title', 'character', ',', 'heads', 'the', 'Department', 'of', 'Diagnostic', 'Medicine', '.']",Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine,Dr Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine
10,"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .","The name combines the names of Laurentia , the name given to the North American craton , and Eurasia .",10,0.216841554,0.999528289,-0.587533832,0.323640748,0.0,-1.623785138,"['The', 'name', 'combines', 'the', 'names', 'of', 'Laurentia', ',', 'the', 'name', 'given', 'to', 'the', 'North', 'American', 'craton', ',', 'and', 'Eurasia', '.', 'As', 'suggested', 'by', 'the', 'geologic', 'naming', ',', 'Laurasia', 'included', 'most', 'of', 'the', 'landmasses', 'which', 'make', 'up', 'today', ""'s"", 'continents', 'of', 'the', 'Northern', 'Hemisphere', ',', 'chiefly', 'Laurentia', '-LRB-', 'i.e.', 'the', 'core', 'North', 'American', 'continent', '-RRB-', ',', 'Baltica', ',', 'Siberia', ',', 'Kazakhstania', ',', 'and', 'the', 'North', 'China', 'and', 'East', 'China', 'cratons', '.']",The name combines the names of Laurentia the name given to the North American craton and Eurasia,The name combines the names of Laurentia the name given to the North American craton and Eurasia As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i e the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons
15,a.k.a. Pro Player Park -LRB- -RRB-,"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",Pro Player Park -LRB- -RRB-,15,0.681961251,0.989768982,-1.090436816,0.814329445,0.003990107,-4.749712944,"['a.k.a.', 'Pro', 'Player', 'Park', '-LRB-', '-RRB-']",Pro Player Park LRB RRB,a k a Pro Player Park LRB RRB
17,"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .",17,0.775369797,0.948589623,-0.747475803,0.90112403,0.0,-1.256550193,"['PERSON@1', 'y', 'SantibÃ', 'Ã', 'ez', 'PERSON@2', '-LRB-', 'LOCATION@1', ',', 'NUMBER@1', 'September', 'NUMBER@2', 'â', ""''"", 'Villanueva', 'de', 'los', 'ORGANIZATION@1', ',', 'NUMBER@3', 'September', 'NUMBER@4', '-RRB-', 'was', 'a', 'nobleman', ',', 'politician', 'and', 'writer', 'of', 'the', 'Baroque', 'era', '.']",PERSON@1 y Santib ez PERSON@2 LRB LOCATION@1 NUMBER@1 September NUMBER@2 NUMBER@3 September NUMBER@4 RRB was a nobleman politician and writer of the Baroque era,PERSON@1 y Santib ez PERSON@2 LRB LOCATION@1 NUMBER@1 September NUMBER@2 Villanueva de los ORGANIZATION@1 NUMBER@3 September NUMBER@4 RRB was a nobleman politician and writer of the Baroque era
18,He currently plays for the Japanese team Yokohama F. Marinos .,Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,He currently plays for the Japanese team Yokohama F.,18,0.785263408,0.836302578,-1.162325501,0.434431612,0.0010694,-4.625374317,"['He', 'currently', 'plays', 'for', 'the', 'Japanese', 'team', 'Yokohama', 'F.', 'Marinos', '.']",He currently plays for the Japanese team Yokohama F,He currently plays for the Japanese team Yokohama F Marinos
37,"Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .",Works by Cicero,": '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .",37,0.908634301,0.999919891,-0.565094233,0.754073565,0.467625052,-3.699230909,"['Rawson', ',', 'E.', ':', ""''"", 'Cicero', ',', 'a', 'portrait', ""''"", '-LRB-/O1975/O-RRB-', 'p.', '8', 'Cicero', 'used', 'his', 'knowledge', 'of', 'Greek', 'to', 'translate', 'many', 'of', 'the', 'theoretical', 'concepts', 'of', 'Greek', 'philosophy', 'into', 'Latin', ',', 'thus', 'translating', 'Greek', 'philosophical', 'works', 'for', 'a', 'larger', 'audience', '.']",Cicero a portrait LRB O1975 O RRB p 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience,Rawson E Cicero a portrait LRB O1975 O RRB p 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience
49,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,PERSON@3 -- the youngest daughter of Mr. and Mrs. PERSON@2 .,PERSON@2 .,49,0.121965878,0.113191597,-2.983228922,0.921652839,0.854435325,-1.962599158,"['PERSON@1', '--', 'the', 'sensible', 'and', 'reserved', 'eldest', 'daughter', 'of', 'Mr.', 'and', 'Mrs.', 'PERSON@2', '.']",PERSON@2,PERSON@1 the sensible and reserved eldest daughter of Mr and Mrs PERSON@2
