,source_sentence,pred,bart_score_gold
0,"are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many elevations in the Grison Alps, including the Tödi at and the highest peak Piz Bernina at.",-1.677680254
1,"KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst K ppel -LRB- born 17 May 1948 -RRB- is a former German football player.,-1.929749608
2,"'' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player. He plays for ORGANIZATION@1 and LOCATION@2 national team.,-1.966666698
3,"are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefringence -RRB-.",-3.366828918
4,"and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","Producer and screenwriter PERSON@1 is the novel's author's son, and his name was featured on its dedication page.",-0.922254682
5,peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill claims that Saint Julian took him on a tour of Purgatory.,-7.810195446
6,a video game based on Dancing with the Stars .,is a video game based on Dancing with the Stars.,-8.411913872
7,"Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Dr. Gregory House -LRB- Hugh Laurie -RRB- is the head of the Department of Diagnostic Medicine.,-1.866250515
8,"started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-, and ended roughly NUMBER@3 billion years ago.",-1.498873353
9,"Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","The Attitude Era was a time in the World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars, a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB-, and culminated at the end of the wars",-5.156509876
