,source_sentence,pred,gold,bart_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the swiss alps are located in the canton of ticino in switzerland. there is a mountain range.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,-3.324526071548462
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for dortmund sc. lrb born november rrb.,Horst K ppel LRB born May RRB is a former German football player.,-5.304440021514893
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,-4.3040080070495605
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of organisms can be made of different kinds of water lrb e. g. g g. e. lrb g rrb rrb.,Different phases are different because their optical properties are different.,-4.463107585906982
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s book is the first book written by person. it was published in number.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,-4.081232070922852
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in th century a monk went to a monastery in thuringia where he went to heaven.,Births,-4.405379772186279
6,is a video game based on Dancing with the Stars.,it is a dance dance game made by a dance band called dancing.,Jive,-3.9248626232147217
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the university of cambridge lrb dr. person rrb is the head of the college of medicine.,Head of the Department of Diagnostic Medicine.,-4.875999450683594
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was about number km lrb number km rrb long rrb and about number billion years ago lrb million years ago.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,-4.298179626464844
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling federation lrb wwe rrb was a world heavyweight wrestling championship in the united states. it was one of the main events in the world wide wrestling federation.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,-3.9740419387817383
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,it is the name of the world s main continents and the largest continent of the u. s. s and the eastern hemisphere.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,-3.7668850421905518
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,LOCATION is twinned with ,-5.302174091339111
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,in an analog signal lrb rrb is the output of a serial port lrb or transistor rrb that is connected to a random port.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,-4.356532573699951
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are known to be known as the german ratchetz lrb also known as german schlozen rrb. it is thought to have been invented by person who was known as ratchets.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,-4.1721510887146
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in budapest hungary and was born on november.,Henryk started to learn the piano from his mother when he was five.,-5.225175380706787
15,a.k.a. Pro Player Park LRB RRB ,park lrb born rrb is a former japanese football player.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.,-4.643130302429199
16,He published partial research results in a NUMBER book.,he published a number of papers in a number number published in number.,He published some of his research in a NUMBER book.,-3.7286455631256104
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born number september number rrb was a spanish politician and politician. he was the mayor of location.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.,-4.748353004455566
18,He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team and has played for the japanese national team.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.,-3.745502471923828
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,the organization wants to protect the population in the location as well as the location and the location.,There were NUMBER American military people but now there are about NUMBER.,-3.903801441192627
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in modern greek philosophy philosophy is the philosophy of philosophy and philosophical philosophy.,In modern usage sophism sophist and sophistry are derogatory terms due the influence of many philosophers in the past LRB sophism and platonism were enemy schools RRB.,-3.969491958618164
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,cadmium is a chemical chemical compound that is the lead element of lead. it is used as a protective chemical compound.,Cadmium iodide is a chemical compound. Its chemical formula is CdI.,-2.756165027618408
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a referee lrb also known as a referee rrb is a professional wrestler that is a team of two wrestlers who are one or more wrestlers lrb a team rrb and two doubles wrestlers.,In professional wrestling a tag team is a team of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,-3.7855923175811768
23,One day when the pianist failed to arrive by show time PERSON took his place.,after his return to location person performed a show when he was not performing.,One day when the pianist did not arrive in time for the show PERSON played instead.,-4.9429545402526855
24,His replacement was PERSON leaving the band with the line up they retain.,person left the band after the band s leaving the band.,PERSON was his replacement.,-3.7558205127716064
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,the organization lrb number rrb is one of the most important books in the history of the organization.,Instead he started his own barnstorming team the ORGANIZATION.,-4.358537673950195
26,He bled to death after about an hour.,he died of a fever and died of an hour.,Fechter bled to death after about an hour.,-3.4620707035064697
27,The first inhabitants settled in the territory of today s Ain about B.C..,in the th century the settlement started in the mid s.,The first inhabitants of the Ain arrived around B.C..,-5.132438659667969
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in the united states the film was awarded an emmy award for best drama series in. it won two emmy awards for best dramatic drama drama drama.,It won many awards including the Emmy Award for outstanding drama series in and best American import at the British Academy Television Awards also in.,-3.686771869659424
