,source_sentence,simplified_sentence,dae_score_pred
0,"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many significant elevations in the Grison Alps , including the Tdi at and the highest peak Piz Bernina .",0.8977043032646179
1,"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .","Horst K ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player.",0.9777829051017761
2,"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .","PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",0.9998687505722046
3,"There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .",0.9999223351478577
4,"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .",0.9997167587280273
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,0.9999359846115112
6,is a video game based on Dancing with the Stars .,is a video game based on Dancing with the Stars .,0.9998300671577454
7,"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .","Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",0.9970682263374329
8,"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .",0.9999345541000366
9,"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .",0.0
10,"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","The name combines the names of Laurentia , the name given to the North American craton , and Eurasia .",0.9995282888412476
11,"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .","LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",0.9998810887336731
12,"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .",0.9999420642852783
13,"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .","It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .",0.9999276399612427
14,"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .",0.9999116659164429
15,a.k.a. Pro Player Park -LRB- -RRB-,Pro Player Park -LRB- -RRB-,0.9897689819335938
16,He published partial research results in a NUMBER@1 book .,He published partial research results in a NUMBER@1 book .,0.9999030232429504
17,"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .",0.9485896229743958
18,He currently plays for the Japanese team Yokohama F. Marinos .,He currently plays for the Japanese team Yokohama F.,0.8363025784492493
19,More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,0.9999115467071533
20,"In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .",0.9999260306358337
21,"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .",0.9999432563781738
22,"In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .",0.9999397993087769
23,"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .","One day , when the pianist failed to arrive by show time , PERSON@1 took his place .",0.999906599521637
24,His replacement was PERSON@1 leaving the band with the line-up they retain .,His replacement was PERSON@1 leaving the band with the line-up they retain .,0.9999098777770996
25,"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second .,0.0
26,He bled to death after about an hour .,He bled to death after about an hour .,0.9998024106025696
27,The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants settled in the territory of today 's Ain about 15000 B.C.,0.9769317507743835
28,"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .",0.0
29,"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","The track s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2  '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .",0.0
30,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,0.9999391436576843
31,"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .",0.9998911023139954
32,"For example , many different things can be red .","For example , many different things can be red .",0.999861478805542
33,"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .",0.9999436140060425
34,"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .",0.9999029636383057
35,"The second place rider , PERSON@1 , became the race 's official winner .","The second place rider , PERSON@1 , became the race 's official winner .",0.9999269247055054
36,"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .",0.9998930096626282
37,"Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .",": '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .",0.9999198913574219
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,0.9999057650566101
39,"In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .",0.9999515414237976
40,"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .",0.9999338388442993
41,"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .",0.9999091029167175
42,"The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .","The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .",0.9999356269836426
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,0.9998911619186401
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,0.999921441078186
45,The actual confidence interval is calculated by entering the measured masses in the formula .,The actual confidence interval is calculated by entering the measured masses in the formula .,0.9999023079872131
46,"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .",0.9998908638954163
47,"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .",0.9998893737792969
48,"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .",0.9999000430107117
49,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,PERSON@2 .,0.11319159716367722
