,source_sentence,pred,gold,bart_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the swiss alps is the klara glarus.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,-4.172839641571045
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb lrb born november rrb in location rrb.,Horst K ppel LRB born May RRB is a former German football player.,-5.621624946594238
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,-4.503818511962891
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they are made of different materials.,Different phases are different because their optical properties are different.,-3.410284996032715
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s father s name was person. he is the son of person.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,-4.536358833312988
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,the births of births are listed below.,Births,-5.113619327545166
6,is a video game based on Dancing with the Stars.,the second season of the show the spinoff spinoff was a series.,Jive,-3.8851919174194336
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the department of medicine is the head of the department for psychiatry.,Head of the Department of Diagnostic Medicine.,-3.3503105640411377
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it is the oldest and oldest at number km lrb number km rrb.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,-5.034976482391357
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,in december person announced that person would take over as head of the wwe championship from person to person on july number number.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,-5.87858772277832
