,source_sentence,pred,gold,bart_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the canton of glarus is the piz pizner in switzerland and the highest peak in switzerland.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,-3.7756757736206055
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,hans schle lrb born july rrb is a former german football player.,Horst K ppel LRB born May RRB is a former German football player.,-5.599907875061035
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,-4.503818511962891
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they can also be seen as different colors of light.,Different phases are different because their optical properties are different.,-3.4152872562408447
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,his son s name is person s son and son s son s author s son lrb son rrb.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,-4.984607696533203
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,births occur in location and location.,Births,-5.240646839141846
6,is a video game based on Dancing with the Stars.,jive jive is a jive series.,Jive,-4.596201419830322
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,dr. person is head of the department of medicine at the university of location.,Head of the Department of Diagnostic Medicine.,-3.578169107437134
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was formed about number billion years ago at the time of the formation of the location lrb about number million years ago rrb.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,-3.412384033203125
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,person as person person mcmahon mcmahon defeated person on april number number at the mcmahon rumble on the raw event.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,-6.206881046295166
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the world s largest continent lrb including the northern hemisphere rrb is the largest continent in the world including the southern hemisphere s northern hemisphere lrb antarctica rrb the great divide between the continents of asia and north america rrb.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,-4.277979373931885
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,location is twinned with location. it is twinned to location.,LOCATION is twinned with ,-3.6294779777526855
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,compressing a write is a process in which a computer is transmitted to another computer at a time. computing is also used to transfer data between a physical physical device.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,-3.660815954208374
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the location is a fictional dog from location location location.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,-5.90069580078125
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he learned to play piano when he was six years old when he played piano.,Henryk started to learn the piano from his mother when he was five.,-3.5477004051208496
15,a.k.a. Pro Player Park LRB RRB ,the organization are a organization in location location location.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.,-6.136189937591553
16,He published partial research results in a NUMBER book.,he wrote a number of articles about his work in number.,He published some of his research in a NUMBER book.,-2.9808270931243896
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person person lrb may number number may number rrb was a spanish poet and poet. he lived in location location location.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.,-5.168040752410889
18,He currently plays for the Japanese team Yokohama F. Marinos.,enohito nishimoto lrb born may rrb is a former japanese football player.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.,-6.188678741455078
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,people who lived there were about number people. there are about number american soldiers.,There were NUMBER American military people but now there are about NUMBER.,-5.4433112144470215
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in latin america lrb latin american schools rrb is one of the most popular schools of modern day and is considered as an antisticsticist.,In modern usage sophism sophist and sophistry are derogatory terms due the influence of many philosophers in the past LRB sophism and platonism were enemy schools RRB.,-5.452144622802734
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is made by reacting the chemical compound iodide.,Cadmium iodide is a chemical compound. Its chemical formula is CdI.,-3.9740676879882812
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a team is a team of two wrestlers lrb usually called a tag team rrb lrb two tag team teams rrb.,In professional wrestling a tag team is a team of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,-3.957916736602783
23,One day when the pianist failed to arrive by show time PERSON took his place.,during the show person played the piano at the end of the show the pianist was not allowed to play it.,One day when the pianist did not arrive in time for the show PERSON played instead.,-3.368729591369629
24,His replacement was PERSON leaving the band with the line up they retain.,person was replaced by person. person replaced person.,PERSON was his replacement.,-4.50754976272583
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,he started the organization as a team with the organization.,Instead he started his own barnstorming team the ORGANIZATION.,-4.661799430847168
26,He bled to death after about an hour.,he died of a fever and died on august.,Fechter bled to death after about an hour.,-4.328821182250977
27,The first inhabitants settled in the territory of today s Ain about B.C..,the first inhabitants lived in the area from c.. bc.,The first inhabitants of the Ain arrived around B.C..,-3.654628276824951
