,source_sentence,simplified_sentence
77481,Baltimore Ravens -LRB- -- present -RRB-,Ray
342630,"Diseases caused by apicomplexan organisms include , but are not limited to :",Diseases caused by apicomplexan organisms include :
568936,"PERSON@1 '' Harry '' Patch -LRB- NUMBER@1 June NUMBER@2 -- NUMBER@3 July NUMBER@4 -RRB- -- known as '' the Last Fighting PERSON@2 '' -- was a British supercentenarian , briefly the oldest man in LOCATION@1 , and the last surviving soldier to have fought in the trenches of the First World War .","He remembered the Bible story about PERSON@3 coming down from LOCATION@2 with Gods commandment , thou shalt not kill ."
5237,"In 2007 , a book from Baron Cohen was released , titled '' Touristic Guidings to Glorious Nation of Kazakhstan\/Touristic Guidings to Minor Nation of U.S. and A. '' , with humor about both countries in a similar vein to the movie .","In 2007 , a book from Cohen was released entitled , '' Touristic Guidings to Glorious Nation of Kazakhstan \/O/ Touristic Guidings to Minor Nation of U.S. and A. '' , with humor about both countries in the same style as movie ."
419205,"ORGANIZATION@1 operates in engineering , oilfield services and construction both offshore and onshore through ORGANIZATION@2 , a subsidiary listed on the Italian ORGANIZATION@3 -LRB- ORGANIZATION@1 's interest is NUMBER@1 % -RRB- .","ORGANIZATION@1 operates ORGANIZATION@2 , a subsidiary , and owns NUMBER@1 % of the company . ORGANIZATION@2 works in engineering , and oilfield services and construction ."
591464,"The following cities are located in LOCATION@1 : LOCATION@2 , PERSON@1 , PERSON@2 , LOCATION@3 , PERSON@3 , LOCATION@4 , and PERSON@4 , among others .",PERSON@5
76686,Structural building engineering includes all structural engineering related to the design of buildings .,"Structural engineering is a subset of civil engineering dealing with the design and analysis of buildings and large non-building structures to withstand both the gravity and wind loads as well as natural disasters . Besides , it may also cover design of machinery , medical equipment , vehicles or any other objects where structural functionality or safety are involved ."
369704,"Atlases have traditionally been bound into book form , but today many atlases are in multimedia formats .","An atlas is a collection of maps or manifolds , traditionally bound into book form , but also found in multimedia formats ."
248480,"Tagore worked hard to fundraise for and staff the school , even contributing all of his Nobel Prize monies .",He gave all his Nobel Prize monies to this university .
537164,"In the NUMBER@1 , pastel and oils became his favored media , and he produced no more noirs after NUMBER@2 .",Image : PERSON@1 .
239637,Book 2 -LRB- 431-428 BC -RRB- War begins with Thebes ' attempt to subvert Plataea .,Book 2 -LRB- 431-428 BCE -RRB- War begins with Thebes ' attempt to subvert Plataea .
509276,"EugÃ ne Scribe was one of the most prolific librettists of the 19th century , providing the words for works by PERSON@1 -LRB- with whom he had a lasting collaboration -RRB- , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 and PERSON@6 .","In the 19th century EugÃ ne Scribe wrote a very large number of libretti that were set to music by composers such as PERSON@1 , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 and PERSON@6 ."
70668,Formula One portal The 2006 Formula One season was the 57th FIA Formula One World Championship season .,The 2006 Formula One season was the 57th edition of the championship . Drivers and constructors The following teams and drivers competed in the 2006 FIA Formula One World Championship .
346956,Approximately half of the land in LOCATION@1 is aboriginal land under the Aboriginal Land Rights -LRB- Northern Territory -RRB- Act NUMBER@1 and most of the remaining land is currently under claim by Aboriginal people .,About half of the land in LOCATION@1 is aboriginal land under the Aboriginal Land Rights -LRB- Northern Territory -RRB- Act NUMBER@1 . Most of the remaining land is currently under claim by Aboriginal people .
47969,Next album = ' -LRB-/O2002/O-RRB-,This album = The Best of Me -LRB-/O1999/O-RRB-
502072,"Geography PERSON@1 is located on the Swiss-German border , between the LOCATION@1 to the south and the PERSON@2 hills to the north in the district of LOCATION@2 .","The name means the fields of the LOCATION@3 , like PERSON@1 in LOCATION@4 ."
418528,"LOCATION@1 is a city in LOCATION@2 , LOCATION@3 , LOCATION@4 .",Alachua is a city of LOCATION@3 in the LOCATION@4 .
78624,"The album was released on September 22 , 2009 .","It was released on September 22 , 2009 ."
528036,"ORGANIZATION@1 , LOCATION@1",ORGANIZATION@2
541345,The bombings were carried out by four British Muslim men apparently motivated by LOCATION@1 's involvement in the LOCATION@2 War .,"The suicide bombings were motivated by Islamic extremism , and LOCATION@1 's involvement in the LOCATION@2 War and other conflicts ."
146877,"It is part of the Sioux City , IA & ndash ; NE & ndash ; SD Metropolitan Statistical Area .",Sloan is a city of Iowa in the United States .
93871,1882 & ndash ; Peter Ilyich Tchaikovsky 's 1812 Overture debuts in Moscow .,1882 - Piotr Ilyitch Tchaikovskys 1812 Overture debuts in Moscow .
212532,"He graduated from Moscow University in 1910 , the same year in which he published his first monograph .",He graduated from Moscow University in 1910 .
529812,The magazine 's commercial heyday was during the NUMBER@1 when it became the best-selling British music magazine .,It was first published in a non-glossy tabloid format on standard newsprint .
415723,PERSON@1 was betrothed at age NUMBER@1 to PERSON@2 .,PERSON@1 was NUMBER@1 years old when she was betrothed to PERSON@2 .
334341,"The second stable release , version NUMBER@1 codename ` Electric ' , was announced on July NUMBER@2 , NUMBER@3 .","The second stable release , version NUMBER@1 codename ` Electric ' , was announced on 27th July NUMBER@3 ."
412909,The image size should only be specified if the image is smaller than NUMBER@1 pixels width .,; Img_size : The image size should only be specified if the image is smaller than NUMBER@1 pixels width .
456240,"Share -LRB- P2P -RRB- , a Japanese P2P computer program , the successor to PERSON@1",The successor to PERSON@1 .
301046,"In sociology , anthropology and cultural studies , a subculture is a group of people with a culture -LRB- whether distinct or hidden -RRB- which differentiates them from the larger culture to which they belong , for example , if a particular subculture is characterized by a systematic opposition to the dominant culture , it may be described as a counterculture .",Subcultures have been documented by others for a long time .
269266,"Starting with Emperor Xiaowen of Han China -LRB- more commonly '' Emperor Wen '' -RRB- , every single Han emperor , except the first one of the Eastern Han Dynasty , has the character of '' filial '' -LRB- xiào -RRB- at the beginning of his posthumous names .",Posthumous names were used again during the Han Dynasty .
23676,7 seasons in La Liga,1995\/96 : La Liga - 20th
89957,"Instead of stating '' Ukraine has not perished , neither her glory , nor her freedom '' , the concept of Ukraine perishing as a nation has been removed : the opening line now states '' Ukraine 's glory has not perished , nor her freedom '' .","CHORUS Ukraine has not perished , neither her glory , nor freedom , Upon us , fellow -- Ukrainians , fate shall smile once more ."
70010,"He also wrote of bourgeois independence , individuality , property , family , etc. ; in each case he referred to conceptions of these ideals which are compatible with condoning the existence of a class society .",References
117036,"Gwinnett County is home to three hospitals : Gwinnett Medical Center -LRB- Lawrenceville -RRB- , Gwinnett Medical Center - Duluth and Emory Eastside Medical Center .",Gwinnett County is a county in the American state of Georgia . The county seat of Gwinnett County is Lawrenceville .
360160,"The dexter side which is their right , your left if facing the shield depicts the emblem of the dukes of Cleves : On a red -LRB- gules -RRB- field a white -LRB- argent -RRB- escutcheon -LRB- shield shape -RRB- with an eight-fold fleur-de-lys -LRB- escarbuncle/metal shield reinforcement -RRB- .","The heraldic dexter side which is their right , your left if facing the shield has the emblem of the dukes of Cleves : On a red -LRB- gules -RRB- field a white -LRB- argent -RRB- escutcheon -LRB- small shield shape -RRB- with an eightfold fleur-de-lys -LRB- escarbuncle/metal shield reinforcement -RRB- ."
514665,"An inflammation of the tonsils is called tonsillitis , which causes one 's tonsils to become sore and swollen .","An infection of the tonsils is called tonsillitis or Tonsilitis . Most commonly , the term '' tonsils '' refers to the palatine tonsils that can be seen in the back of the throat ."
515276,Asnières - en-Bessin is a commune in the Calvados department in the LOCATION@1 region in north-western LOCATION@2 .,Asnières - en-Bessin is a commune .
173003,The Countess laments her husband 's infidelity .,The Countess is sad about her husband 's infidelity .
473129,"ORGANIZATION@1 is a Spanish municipality , capital of the province of LOCATION@1 , in the autonomous community of the LOCATION@2 .","ORGANIZATION@1 is a city in the LOCATION@2 , in the North of LOCATION@3 ."
471951,"Unlike most fish species , which have white flesh , tuna have flesh that is pink to dark red , giving them the common name '' the rose of the sea '' .",Most species of fish have white flesh .
24815,"1745 & ndash ; Charles Edward Stewart 's army reaches Derby , its furthest point during the second Jacobite Rising .",1676 - Battle of Lund : A Danish army under the command of King Christian V of Denmark engages the Swedish army commanded by Field Marshal Simon Grundel-Helmfelt .
531509,ORGANIZATION@1 has taken ORGANIZATION@2 's place for payphones in northern ORGANIZATION@2 territory ; independents have set in further south .,The telephone companies before ORGANIZATION@2 were ORGANIZATION@3 in these nine states . ORGANIZATION@2 is currently under the ownership of ORGANIZATION@4 .
225987,Raynald of Chatillon is released from prison in Aleppo .,"Saint Sava , Serbian prince and archbishop -LRB- d. 1235 -RRB-"
52514,"Afton is a city in Union County , Iowa , United States .",Afton is a city of Iowa in the United States .
33871,"On June 15 , 2007 , the band began their first official headlining tour in support of The Sufferer & the Witness ; it was a North American tour that lasted throughout the summer months .","On June 15 , 2007 , the band started their first big tour in support of The Sufferer & the Witness . It was a North American tour that lasted throughout the summer months ."
223051,The Australian mainland is made up of 5 states and 3 territories .,Territories
366528,"It prefers dry , open or semi-open habitats , but also occurs in forest .","It likes dry , open or partly-open habitats , but also lives in forests ."
142098,"It is among these people that cultural traditions survive most strongly ; as blacks have become increasingly urbanised and Westernised , aspects of traditional culture have declined .","It is among these people , however , that cultural traditions live most strongly . This is because blacks have become urbanisation and Westernised , parts of traditional culture have fallen ."
532856,LOCATION@1 was an independent city to the west of LOCATION@2 until NUMBER@1 when it was incorporated into '' GroÃ - LOCATION@2 '' -LRB- LOCATION@3 -RRB- and transformed into a borough .,LOCATION@1 was an independent city to the west of LOCATION@2 until NUMBER@1 . Then it was made part of GroÃ - LOCATION@2 -LRB- LOCATION@3 -RRB- and turned into a borough .
573090,General epistles -LRB- also called ORGANIZATION@1 -RRB- are books in the New Testament in the form of letters .,Epistle
71452,at :2009 text : Sonic and the Black Knight,Sonic and the Black Knight
132309,When he was 8 years old he ran away from home to join the army .,When he was 8 years old he ran away from home and he joined the army .
360071,"PERSON@1 -LRB- born August NUMBER@1 , NUMBER@2 -RRB- is an American musician and the oldest member of the Backstreet Boys since PERSON@2 left in NUMBER@3 .",He asked her to marry him on New Years of that year .
365365,"In a synchronous stream cipher a stream of pseudo-random digits is generated independently of the plaintext and ciphertext messages , and then combined with the plaintext -LRB- to encrypt -RRB- or the ciphertext -LRB- to decrypt -RRB- .","In a synchronous stream cipher a stream of pseudo-random digits is generated independently of the plaintext and ciphertext messages , and then combined with the plaintext -LRB- to encrypt -RRB- or with the ciphertext -LRB- to decrypt -RRB- ."
509682,"These were led by leaders , the Druids and Bards .","Each clan was headed by a leader , which came from the Druids or the Bards ."
10183,"Moreover , no ParquÃ s game is played in any other Latin American countries .","Moreover , no ParquÃ s game is played in any other Latin American countries , neither the world ."
565167,"JosÃ JuliÃ n MartÃ PÃ rez -LRB- January NUMBER@1 , NUMBER@2 -- May NUMBER@3 , NUMBER@4 -RRB- was a Cuban national hero and an important figure in Latin American literature .","JosÃ JuliÃ n MartÃ PÃ rez -LRB- January NUMBER@1 , NUMBER@2 â '' May NUMBER@3 , NUMBER@4 -RRB- was a Cuban patriot , freedom fighter and poet ."
270619,"The fourth track , '' High Speed '' , would also appear on Parachutes in the same form as it appears here .",'' High Speed '' -- 4:16
589234,Vuelta a España,Winner Vuelta a España
15645,"Blabbermouth.net is a website dedicated to heavy metal and hard rock news , as well as album and music DVD reviews .","Blabbermouth.net is a website that is dedicated to heavy metal and hard rock news , as well as album and music DVD reviews ."
186488,He has been credited with the industrialization of the Republic of Korea through export-led growth .,"The students were regularly filling the streets , making numerous and wide-ranging demands for political and economic reforms ."
318890,The first commercial electric power transmission -LRB- developed by PERSON@1 in the late nineteenth century -RRB- used direct current .,The first commercial electric power transmission that was developed by PERSON@1 in the late nineteenth century used direct current .
179505,"However , there is evidence of Saxon settlement at Oxton , near Nottingham , and Tuxford , east of Sherwood Forest .",Sherwood Forest
8772,She was brought up in Hyderabad in a religious family .,She was brought up in Hyderabad in a Muslim family .
155533,"Nxe4 , Black 's two most popular options are 4 ... Bd7 5 .",Nd2 c5 -LRB- 3 ... Nf6 is popular -RRB- 4 .
75419,Page from the franchise site using '' First Great Western '' as name .,Other pages
238687,"Charlie '' Lucky '' Luciano -LRB- born Salvatore Lucania ; November 24 , 1897 â '' January 26 , 1962 -RRB- was an Italian mobster born in Sicily .","Charles '' Lucky '' Luciano -LRB- born Salvatore Lucania ; November 24 , 1897 â '' January 26 , 1962 -RRB- was a Sicilian mobster ."
16329,A carriage with its horse is a rig .,Sometimes people still use carriages .
347714,"PERSON@1 -LRB- PERSON@2 son of al-Walid -RRB- was from the Meccan tribe of LOCATION@1 , from a clan that initially opposed PERSON@3 . He played a vital role in the Meccan victory at the Battle of LOCATION@2 .","PERSON@4 was from the Meccan tribe of LOCATION@1 , who opposed PERSON@3 , and he played a vital role in their victory at the Battle of LOCATION@2 ."
518041,The NUMBER@1 Formula One season was the 46th FIA Formula One World Championship season .,The NUMBER@1 Formula One season was the 46th edition of the championship .
76172,"First Appearance of Various Industrial Mills in Medieval Europe , AD 770-1443 Adam Robert Lucas , ` Industrial Milling in the Ancient and Medieval Worlds .","First Appearance of Various Industrial Mills in Medieval Europe , AD 770-1443 Adam Robert Lucas , '' Industrial Milling in the Ancient and Medieval Worlds ."
101529,The word '' Hind '' is the Persianised reference to the regions associated with the Indus River immediately to the east of Persia and '' Ko '' means mountainsEncyclopædia Britannica Eleventh Edition - Kohistan .,The literal meaning of the word '' Hindko '' is '' Mountains of the Indus '' . The word '' Hind '' is the Persianised reference to the regions associated with the Indus River immediately to the east of Persia and '' Ko '' means mountains .
261830,"Jan Gotlib -LRB- Bogumi -RRB- Bloch -LRB- July 24 , 1836 , Radom -- December 25 , 1902\/1901 , Warsaw -RRB- , was a Polish banker and railway financier who devoted his private life to the study of modern industrial warfare .","Ivan Bloch -LRB- July 24 , 1836 , Radom -- December 25 , 1902\/1901 , Warsaw -RRB- -LRB- , , , -RRB- was a banker from Poland ."
420245,Engineered lumber Engineered lumber is lumber created by a manufacturer and designed for a certain structural purpose .,Engineered Lumber Engineered lumber is lumber created by a manufacturer and designed for a certain structural purpose .
213694,"The current population is nearly 3,000 people .","The current population is almost 3,000 people ."
517040,"CoÅ # ofenii din FaÅ # Ä is a commune in LOCATION@1 , LOCATION@2 with a population of NUMBER@1 people .","CoÅ # ofenii din FaÅ # Ä is a commune found in LOCATION@1 , LOCATION@2 ."
524119,He named this his '' Golden Theorem '' but it became generally known as '' Bernoulli 's Theorem '' .,He named this his '' Golden Theorem '' .
332080,"PERSON@1 was born in LOCATION@1 , the family estate in the LOCATION@2 region of LOCATION@3 .","PERSON@1 was born at LOCATION@1 , the family estate in the region of LOCATION@2 , LOCATION@3 and he married PERSON@2 ."
103523,Civil Disobedience -LRB- Resistance to Civil Government -RRB- is an essay by Henry David Thoreau that was first published in 1849 .,Civil Disobedience -LRB- Resistance to Civil Government -RRB- is a text by Henry David Thoreau .
587715,"On July NUMBER@1 , NUMBER@2 , rumors of the demise of ORGANIZATION@1 on PERSON@1 were put to rest when it was announced that the network had signed a new seven-year contract , which will guarantee that the World Series will appear on PERSON@1 through the NUMBER@3 season .",New Contract : NUMBER@4
408441,Hence at the middle of the match PERSON@1 was one point ahead .,PERSON@1 was now a point ahead .
539926,"On March NUMBER@1 , NUMBER@2 , PERSON@1 was released to the Internet on the video sharing website Liveleak in Dutch and English versions .","On March NUMBER@1 NUMBER@2 , the movie was released on the internet , at a video sharing site named liveleak ."
511752,"PERSON@1 , LOCATION@1 , LOCATION@2",NUMBER@1 The Introduction
383738,"Unlike the branle , in which sideways motion was achieved by the dancer 's continually bringing the feet together , the gavotte required crossing of the feet twice in each step pattern , and each step was followed by a hop .","To dance a gavotte the dancers must cross their feet twice in each step pattern , with each step followed by a hop ."
211727,Lopp Lagoon is a tidal lake NE of Cape Prince of Wales -LRB- the western-most tip of the Seward Peninsula -RRB- in the U.S. state of Alaska .,"Historically , Lopp Lagoon has been an important source of food -LRB- salmon and waterfowl -RRB- for people living in the Wales , Alaska area ."
479105,PERSON@1 is a village in the canton of LOCATION@1 in LOCATION@2 .,PERSON@1 is a municipality of the canton of LOCATION@1 in LOCATION@2 .
522437,It was replaced with PERSON@1 for the NUMBER@1 season .,PERSON@2 will be replaced by PERSON@1 in NUMBER@1 .
10713,"A metropolitan borough is a type of local government district in England , and is a subdivision of a metropolitan county .",A metropolitan borough -LRB- or metropolitan district -RRB- is a type of local government district in England and covers urban areas within metropolitan counties .
34772,Each redundant bit is invariably a complex function of many original information bits .,Each redundant bit is a function of many original information bits .
287771,"He was a Member of Parliament and deputy chairman of the Conservative Party , and became a life peer in 1992 .","He was a member of Parliament , Deputy Chairman of the Conservative Party and since 1992 is a life peer ."
244651,Habitat Evaluation and Reintroduction Planning for the Endangered Palos Verdes Blue Butterfly .,Decline of the Endangered Palos Verdes Blue Butterfly in California .
