source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
"simplify: There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","['There are many important elevations in the Grison Alps, including the Tödi at and the highest peak, Piz Bernina at.']","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .",0,0.855377294,0.804647863,-1.058947086,0.854569613,0.962026358,-1.677680254
"simplify: Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .","['Horst K ppel -LRB- born 17 May, 1948 -RRB- is a former German football player.']",Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,1,0.371942273,0.999615848,-2.029433489,0.388560222,0.999825418,-1.929749608
"simplify: PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .","[""PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player.""]","PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",2,0.415816027,0.997276664,-0.865552425,0.595498847,0.990742862,-1.966666698
"simplify: There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","['There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefringence -RRB-.']",Different phases are different because their optical properties are different .,3,0.913890943,0.999922335,-0.883391023,0.832436927,0.997089386,-3.366828918
"simplify: Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","[""Producer and screenwriter PERSON@1 is the novel's author's son, and his name was featured on the dedication page.""]",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,4,0.861862548,0.994337022,-1.221489668,0.961823617,0.945085585,-0.922254682
simplify: A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,['A peasant in England claims that Saint Julian took him on a tour of Purgatory.'],Births,5,0.767213531,0.998320222,-1.02628994,0.666370006,0.0,-7.810195446
simplify: is a video game based on Dancing with the Stars .,['Dancing with the Stars is a video game made for Dancing with the Stars.'],Jive,6,0.90744555,0.990520298,-1.622475266,0.750609807,0.0,-8.411913872
"simplify: Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .","['Dr. Gregory House -LRB- Hugh Laurie -RRB-, the title character, heads the Department of Diagnostic Medicine.']",Head of the Department of Diagnostic Medicine .,7,0.889824899,0.999921799,-1.009232521,0.699715314,0.797706306,-1.866250515
"simplify: It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","[""It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- and ended about NUMBER@3 billion years ago.""]","It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",8,0.571736481,0.993121028,-0.717067838,0.618066695,0.994385719,-1.498873353
"simplify: The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .",['The Attitude Era was a period in the World Wrestling Federation -LRB- WWF -RRB- and professional wrestling history.'],"December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",9,0.247007583,0.999137223,-1.117654443,0.748192222,0.0,-5.156509876
"simplify: The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","[""The name '' Laurasia '' means the landmasses which make up today's continents of the Northern Hemisphere.""]","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .",10,0.226001286,0.999938607,-2.155838251,0.323640748,0.0,-1.623785138
"simplify: LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",['LOCATION@1 is a commune of the Nord department in the northern part of LOCATION@2.'],LOCATION@1 is twinned with :,11,0.71339632,0.666853309,-2.365980148,0.316167419,0.01888036,-3.464788198
"simplify: In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","['In computing, a serial port is a physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB-.']","In computing , a serial port is a serial communication physical interface through which information transfers , either in or out , one bit at a time -LRB- in contrast with parallel port -RRB- .",12,0.739391226,0.999728739,-0.967899323,0.669161246,0.997556448,-1.368359447
"simplify: It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .",['It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed.'],The Pomeranian is a dog from LOCATION@1 -LRB- in LOCATION@2 and LOCATION@3 -RRB- .,13,0.353779013,0.998402834,-0.855488956,0.599540273,0.077601641,-3.130821705
"simplify: Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","['He started piano and harmony training with his mother when he was 5. When he was 7, he learned the violin.']",Henryk started to learn the piano from his mother when he was five .,14,0.578968699,0.796811938,-1.284530401,0.840130383,0.999315143,-3.533702374
simplify: a.k.a. Pro Player Park -LRB- -RRB-,['Pro Player Park -LRB- -RRB-'],"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",15,0.605039695,0.989768982,-1.547401428,0.814329445,0.003990107,-4.749712944
simplify: He published partial research results in a NUMBER@1 book .,['He published part of his research in a NUMBER@1 book.'],He published some of his research in a NUMBER@1 book .,16,0.783992021,0.928786278,-1.588891029,0.932265382,0.960930467,-1.973982692
"simplify: PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","[""PERSON@1 y Santib  ez -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a nobleman and writer of the Baroque era.""]","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .",17,0.813375559,0.993517995,-0.725138545,0.90112403,0.0,-1.256550193
simplify: He currently plays for the Japanese team Yokohama F. Marinos .,['He plays for Yokohama F. Marinos.'],Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,18,0.481141628,0.992416739,-1.700549364,0.434431612,0.0010694,-4.625374317
simplify: More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,['More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.'],"There were NUMBER@1 American military people , but now there are about NUMBER@2 .",19,0.936955783,0.999911547,-0.529040337,0.810003154,0.000448974,-4.351177692
"simplify: In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","['In modern usage, sophism, sophist, and sophistry are derogatory terms due to the influence of many past philosophers.']","In modern usage , sophism , sophist , and sophistry are derogatory terms , due the influence of many philosophers in the past -LRB- sophism and platonism were enemy schools -RRB- .",20,0.857424606,0.999781787,-1.14587307,0.93265272,0.771986604,-3.585757494
"simplify: Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","['Cadmium iodide, CdI2, is a chemical compound made of cadmium and iodine.']",Cadmium iodide is a chemical compound . Its chemical formula is CdI2 .,21,0.906072763,0.97592628,-1.171908259,0.588149812,0.99969548,-1.563486576
"simplify: In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","['In professional wrestling, a tag team consists of two wrestlers who are working together as a team.']","In professional wrestling , a tag team is a team of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .",22,0.636095044,0.999536157,-1.015616894,0.978569377,0.996141553,-0.572063684
"simplify: One day , when the pianist failed to arrive by show time , PERSON@1 took his place .","['One day, when the pianist failed to arrive by show time, PERSON@1 took his place.']","One day , when the pianist did not arrive in time for the show , PERSON@1 played instead .",23,0.87381297,0.9999066,-1.030286193,0.364045211,0.999858022,-2.205153465
simplify: His replacement was PERSON@1 leaving the band with the line-up they retain .,['His replacement was PERSON@2 leaving the band with the same line-up they retain.'],PERSON@1 was his replacement .,24,0.9476389,0.706518054,-1.567641497,0.804654373,0.970143616,-3.209986448
"simplify: According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",['According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.'],"Instead , he started his own barnstorming team , the ORGANIZATION@2 .",25,0.636844126,0.971829116,-0.50919944,0.549414851,0.002853866,-4.119181156
simplify: He bled to death after about an hour .,['He bled to death after about an hour.'],Fechter bled to death after about an hour .,26,0.827982419,0.999802411,-1.366898656,0.953162645,0.906031251,-2.967683554
