source_sentence,pred,gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,in the canton of ticino the swiss alps are the highest mountains in switzerland. it is the highest peak of the swiss swiss alps in switzerland and switzerland.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb in saxony rrb and is a former german football player. he is the current manager of stuttgart f c. lrb born march rrb.,Horst K ppel LRB born May RRB is a former German football player.
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,this is made of two different types of crystal structures lrb i rrb and silicae rrb which can be made up of different colors of light.,Different phases are different because their optical properties are different.
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s script was written and written by person. it was written by writer person and person s brother person.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in the th century he wrote a poem about him. he said that he was fond of him and brought him a body of gold.,Births
is a video game based on Dancing with the Stars.,the video is about the dancing part of the video with the stars dancing on the ice.,Jive
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,richard stone lrb born march rrb is an american psychiatrist. he works as a psychiatrist.,Head of the Department of Diagnostic Medicine.
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,on number january number number bc there was about number million years old and number billion years ago.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling entertainment lrb wwe rrb was a professional wrestling pay per view event that was held in the world wide wrestling entertainment world championship wrestling lrb wcw rrb during the world heavyweight championship between the world championship and world wrestling federation lrb wwf rrb.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the name of the province is derived from the latin name for the central location which is the most common area of the eastern hemisphere of the world. this includes the southern part of location and the northern parts of the united states.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,LOCATION is twinned with 
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a port lrb or port address rrb is a type of data port. this means the transfer of data between a computer in a single port.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the german pows are known to be called the pows or pows lrb german for german slang rrb. they are known as german powies because they are called pows in german and german.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in new york city and was the first organist of the school of organ lessons at the age of.,Henryk started to learn the piano from his mother when he was five.
a.k.a. Pro Player Park LRB RRB ,person lrb born march rrb is a professional basketball player who plays for organization.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.
He published partial research results in a NUMBER book.,in number he published a book about his work in number.,He published some of his research in a NUMBER book.
PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born january number number rrb was a spanish writer and poet. he was the father of person s son and only child of the spanish revolutionary war.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.
He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team lrb born july rrb.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.
More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,after the war the government of location has made an increase in the security of the organization. this will help the people of location.,There were NUMBER American military people but now there are about NUMBER.
