source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the swiss alps is the klara glarus.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.47203575631846556
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb lrb born november rrb in location rrb.,Horst K ppel LRB born May RRB is a former German football player.,1,0.33796882549388296
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.38043386285955255
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they are made of different materials.,Different phases are different because their optical properties are different.,3,0.25641544431233576
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s father s name was person. he is the son of person.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.5017821344462308
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,the births of births are listed below.,Births,5,0.3971434856982941
is a video game based on Dancing with the Stars.,the second season of the show the spinoff spinoff was a series.,Jive,6,0.9074455499649048
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the department of medicine is the head of the department for psychiatry.,Head of the Department of Diagnostic Medicine.,7,0.6785849543178784
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it is the oldest and oldest at number km lrb number km rrb.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.27486833105696007
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,in december person announced that person would take over as head of the wwe championship from person to person on july number number.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.2977333400822893
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the largest continent of the world is the location lrb location rrb which includes the continents of the continents.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,10,0.2618511492206204
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,location is a city of location in location.,LOCATION is twinned with ,11,0.4772042954290235
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a serial transmission is the transmission of a serial port. it is used to transfer data between computers.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,12,0.5571213625148385
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the location is a breed of dog from location.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,13,0.21141194315119222
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in location. he was the youngest child of the family when he was six.,Henryk started to learn the piano from his mother when he was five.,14,0.48219562398976296
