source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the canton of glarus is the piz pizner in switzerland and the highest peak in switzerland.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.912069088,0.996875226,-3.775675774,0.854569613,0.962026358,-1.677680254
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,hans schle lrb born july rrb is a former german football player.,Horst K ppel LRB born May RRB is a former German football player.,1,0.354590243,0.996954679,-5.599907875,0.388560222,0.999825418,-1.929749608
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.380433863,0.993552983,-4.503818512,0.595498847,0.990742862,-1.966666698
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they can also be seen as different colors of light.,Different phases are different because their optical properties are different.,3,0.353437504,0.186515018,-3.415287256,0.832436927,0.997089386,-3.366828918
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,his son s name is person s son and son s son s author s son lrb son rrb.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.6123443,0.171199307,-4.984607697,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,births occur in location and location.,Births,5,0.397143486,8.03E-05,-5.240646839,0.666370006,0,-7.810195446
is a video game based on Dancing with the Stars.,jive jive is a jive series.,Jive,6,0.510438122,0.005543351,-4.59620142,0.750609807,0,-8.411913872
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,dr. person is head of the department of medicine at the university of location.,Head of the Department of Diagnostic Medicine.,7,0.744558492,0.0516374,-3.578169107,0.699715314,0.797706306,-1.866250515
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was formed about number billion years ago at the time of the formation of the location lrb about number million years ago rrb.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.6009833,0.998655975,-3.412384033,0.618066695,0.994385719,-1.498873353
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,person as person person mcmahon mcmahon defeated person on april number number at the mcmahon rumble on the raw event.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.264154392,0.015654484,-6.206881046,0.748192222,0,-5.156509876
