source_sentence,simplified_sentence,Human Score,ChatGPT score
"This may include not only forms of education designed for students with special needs -LRB- ranging from teenage pregnancy to intellectual disability -RRB- , but also forms of education designed for a general audience and employing alternative educational philosophies and methods .","This may include not only forms of education for students with special needs -LRB- ranging from teenage pregnancy to intellectual disability -RRB-, but also forms of education for a general audience and employing alternative educational philosophies and methods.",4.25,5
"Heathrow is the primary hub of British Airways , BMI and Virgin Atlantic .","Heathrow is the primary hub of British Airways , BMI and Virgin Atlantic .",5,4.25
TrÃ viÃ res is the seat of the canton of TrÃ viÃ res which contains NUMBER@1 communes .,Tr vi res is the capital city of LOCATION@1. It is the capital city of LOCATION@2.,1.5,2.75
KSJAA - Kevin Sorbo bio 1958-77 Sorbo was educated at Minnesota State University Moorhead and worked as a model for print and television advertising in the 1980s .,KSJAA - Kevin Sorbo bio 1958-77 Sorbo was educated at Minnesota State University Moorhead and worked as a model for print and television advertising in the 1980s .,3.5,4.25
"It was then a piece for the theater play '' PERSON@1 kazuje na kome je carstvo '' -LRB- PERSON@1 Names The Emperor -RRB- , and its immense popularity with audiences prompted its adoption as the Serbian national anthem .","It was then a piece for the theater play '' PERSON@1 kazuje na kome je carstvo '' -LRB- PERSON@1 Names The Emperor -RRB-, and its popularity with the public made it the Serbian national anthem.",5,4
He identified geographical separation as the most frequent initial step towards cladogenesis -LRB- phylogenetic branching -RRB- .,He identified geographical separation as the most frequent initial step towards cladogenesis -LRB- phylogenetic branching -RRB- .,3.5,3.25
"Another notable death mask is that of PERSON@1 , taken on the island of Saint PERSON@2 and displayed at LOCATION@1 s ORGANIZATION@1 .","Another notable death mask is that of PERSON@1 , taken on the island of Saint PERSON@2 and displayed at LOCATION@1 s ORGANIZATION@1 .",5,5
"The freeway , which runs north-south from the U.S.-Mexico border in California to Washington State , was constructed through Elysian Valley , displacing both residents and businesses .","The freeway, which runs north-south from the U.S.-Mexico border in California to Washington State, was built through Elysian Valley, displacing both residents and businesses.",3.5,4.25
"1880 & ndash ; Arnold Gesell , American psychologist and pediatrician -LRB- d. 1961 -RRB-","1880 & ndash ; Arnold Gesell , American psychologist and pediatrician -LRB- d. 1961 -RRB-",3.5,5
Popular histories usually refer to the joint reigns as those of '' PERSON@1 and Mary '' .,Popular histories usually refer to the joint reigns as those of '' PERSON@1 and Mary '' .,4.25,5
"A new project called Ultamatix , compatible with Ubuntu 9.04 , is based on Automatix .","A new project called Ultamatix, compatible with Ubuntu 9.04, is based on Automatix.",5,4.25
They are members of the Central Division of the ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- .,They are members of the Central Division of the ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB-.,3.5,4.25
"The band also went on to release their first full-length live album , Live in LOCATION@1 ; recorded during their performances in LOCATION@1 , LOCATION@2 .","The band also went on to release their first full-length live album , Live in LOCATION@1 ; recorded during their performances in LOCATION@1 , LOCATION@2 .",3.5,3.25
The Young Turk Revolution played a significant role in the evolution of ORGANIZATION@1 from a revolutionary organization to a political party .,The Young Turk Revolution played a large role in the evolution of ORGANIZATION@1 from a revolutionary organization to a political party.,5,4.25
"Perhaps the first mélodies were those of Hector Berlioz ; he was certainly the first to use the term to describe his own compositions , and his song cycle Les nuits d'été -LRB- 1841 -RRB- is still considered an example of the genre .","Perhaps the first mélodies were those of Hector Berlioz ; he was certainly the first to use the term to describe his own compositions , and his song cycle Les nuits d'été -LRB- 1841 -RRB- is still considered an example of the genre .",3.5,5
