source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the swiss alps are located in the canton of ticino in switzerland. there is a mountain range.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.7440563616545304
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for dortmund sc. lrb born november rrb.,Horst K ppel LRB born May RRB is a former German football player.,1,0.5097234745153645
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.5243818109685724
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of organisms can be made of different kinds of water lrb e. g. g g. e. lrb g rrb rrb.,Different phases are different because their optical properties are different.,3,0.7345955972191242
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s book is the first book written by person. it was published in number.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.6633729913017967
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in th century a monk went to a monastery in thuringia where he went to heaven.,Births,5,0.8151892601175511
is a video game based on Dancing with the Stars.,it is a dance dance game made by a dance band called dancing.,Jive,6,0.9074455499649048
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the university of cambridge lrb dr. person rrb is the head of the college of medicine.,Head of the Department of Diagnostic Medicine.,7,0.8105320287685769
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was about number km lrb number km rrb long rrb and about number billion years ago lrb million years ago.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.4984900241202497
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling federation lrb wwe rrb was a world heavyweight wrestling championship in the united states. it was one of the main events in the world wide wrestling federation.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.4051859740969501
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,it is the name of the world s main continents and the largest continent of the u. s. s and the eastern hemisphere.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,10,0.25733647423405803
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,LOCATION is twinned with ,11,0.8212352991104126
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,in an analog signal lrb rrb is the output of a serial port lrb or transistor rrb that is connected to a random port.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,12,0.6096799816200119
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are known to be known as the german ratchetz lrb also known as german schlozen rrb. it is thought to have been invented by person who was known as ratchets.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,13,0.7563849521631545
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in budapest hungary and was born on november.,Henryk started to learn the piano from his mother when he was five.,14,0.33932284651131467
a.k.a. Pro Player Park LRB RRB ,park lrb born rrb is a former japanese football player.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.,15,0.8587660193443298
He published partial research results in a NUMBER book.,he published a number of papers in a number number published in number.,He published some of his research in a NUMBER book.,16,0.9352887272834778
PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born number september number rrb was a spanish politician and politician. he was the mayor of location.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.,17,0.6114025270001272
He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team and has played for the japanese national team.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.,18,0.9362756013870239
More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,the organization wants to protect the population in the location as well as the location and the location.,There were NUMBER American military people but now there are about NUMBER.,19,0.5855401212518866
In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in modern greek philosophy philosophy is the philosophy of philosophy and philosophical philosophy.,In modern usage sophism sophist and sophistry are derogatory terms due the influence of many philosophers in the past LRB sophism and platonism were enemy schools RRB.,20,0.8184507599002437
Cadmium iodide CdI is a chemical compound of cadmium and iodine.,cadmium is a chemical chemical compound that is the lead element of lead. it is used as a protective chemical compound.,Cadmium iodide is a chemical compound. Its chemical formula is CdI.,21,0.9537608027458191
In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a referee lrb also known as a referee rrb is a professional wrestler that is a team of two wrestlers who are one or more wrestlers lrb a team rrb and two doubles wrestlers.,In professional wrestling a tag team is a team of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,22,0.9634060859680176
One day when the pianist failed to arrive by show time PERSON took his place.,after his return to location person performed a show when he was not performing.,One day when the pianist did not arrive in time for the show PERSON played instead.,23,0.966334342956543
His replacement was PERSON leaving the band with the line up they retain.,person left the band after the band s leaving the band.,PERSON was his replacement.,24,0.7309739067129893
According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,the organization lrb number rrb is one of the most important books in the history of the organization.,Instead he started his own barnstorming team the ORGANIZATION.,25,0.5389869812556676
He bled to death after about an hour.,he died of a fever and died of an hour.,Fechter bled to death after about an hour.,26,0.9693452715873718
The first inhabitants settled in the territory of today s Ain about B.C..,in the th century the settlement started in the mid s.,The first inhabitants of the Ain arrived around B.C..,27,0.7144226701292272
Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in the united states the film was awarded an emmy award for best drama series in. it won two emmy awards for best dramatic drama drama drama.,It won many awards including the Emmy Award for outstanding drama series in and best American import at the British Academy Television Awards also in.,28,0.3320700099640654
The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,in number the number number championship was held at the number location in location. it was the first time that the number lrb number rrb was held in number.,The Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB. None of the regular Indy drivers raced in Formula One.,29,0.4691247360689656
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,the series was created by the canadian television network canadian broadcasting corporation and the television network of canada.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,30,0.9514315549592326
Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,person lrb german district rrb is a district in the district of location in location location.,Wartburgkreis is a Landkreis LRB rural district RRB in the west of LOCATION LOCATION.,31,0.920176088809967
For example many different things can be red.,some of them can be made into different colors.,For example many different things can be the color red.,32,0.9355010390281677
Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,the album was released on april in the united states and canada on june in canada and canada.,Afrodisiac is the fourth studio album by American R B O pop singer Brandy released by Atlantic Records on June outside North America and on June LRB see in music RRB in Canada and the United States.,33,0.3859352749586106
Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born on june number number in location location.,PERSON was born in LOCATION LOCATION LOCATION.,34,0.6728828127791242
The second place rider PERSON became the race s official winner.,person s first race was the first race of the person s team.,As PERSON forfeited his Tour title the second place rider PERSON became the race s official winner.,35,0.8836459368467331
Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,the town is a small town in the united kingdom. it is home to the town of coventry who play for the coventry saints.,Northampton Town F.C. is an English football club.,36,0.4308002634998008
Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,he wrote a grammar of greek classical mythology lrb latin latin rrb.,Works by Cicero,37,0.29537735743956134
The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,in the history of location people in location are still people in the towns of location.,Companies such as LOCATION and PERSON are still based in the town.,38,0.7324442378545212
In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in a study of animals in a range of animals reported that there were an estimated number of animals living on the island of papua which were reported by a team of researchers.,In February of an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,39,0.7956162930649018
A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,a hydrothermal vent is a type of lake that is usually found in shallow water near the bottom of the sea.,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich liquids leak out of the Earth s crust often in the form of a brine pool.,40,0.5291008527080218
As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,this means that the original value of the data is the same as the original original value and therefore the resulting result is correct.,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and decode the original data.,41,0.9084906611177657
The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,it is found in the region of location in the u. s.. lrb about km rrb of location.,The Retezat Mountains have many glacial lakes. The largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB is in these mountains.,42,0.4234916333292351
