source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the swiss alps are located in the canton of ticino in switzerland. there is a mountain range.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.744056362,0.954091191,-3.324526072,0.854569613,0.962026358,-1.677680254
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for dortmund sc. lrb born november rrb.,Horst K ppel LRB born May RRB is a former German football player.,1,0.509723475,0.994938612,-5.304440022,0.388560222,0.999825418,-1.929749608
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.524381811,0.99978447,-4.304008007,0.595498847,0.990742862,-1.966666698
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of organisms can be made of different kinds of water lrb e. g. g g. e. lrb g rrb rrb.,Different phases are different because their optical properties are different.,3,0.734595597,0.643278062,-4.463107586,0.832436927,0.997089386,-3.366828918
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s book is the first book written by person. it was published in number.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.663372991,0.264502198,-4.081232071,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in th century a monk went to a monastery in thuringia where he went to heaven.,Births,5,0.81518926,0.412620455,-4.405379772,0.666370006,0,-7.810195446
is a video game based on Dancing with the Stars.,it is a dance dance game made by a dance band called dancing.,Jive,6,0.90744555,0.999817193,-3.924862623,0.750609807,0,-8.411913872
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the university of cambridge lrb dr. person rrb is the head of the college of medicine.,Head of the Department of Diagnostic Medicine.,7,0.810532029,0.997601807,-4.875999451,0.699715314,0.797706306,-1.866250515
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it was about number km lrb number km rrb long rrb and about number billion years ago lrb million years ago.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.498490024,0.293019354,-4.298179626,0.618066695,0.994385719,-1.498873353
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling federation lrb wwe rrb was a world heavyweight wrestling championship in the united states. it was one of the main events in the world wide wrestling federation.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.405185974,0.38882789,-3.974041939,0.748192222,0,-5.156509876
The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,it is the name of the world s main continents and the largest continent of the u. s. s and the eastern hemisphere.,Laurasia included most of the landmasses which make up today s continents of the northern hemisphere chiefly Laurentia LRB the name given to the North American craton RRB Europe Baltica Siberia Kazakhstan and China.,10,0.257336474,0.999601781,-3.766885042,0.323640748,0,-1.623785138
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,LOCATION is twinned with ,11,0.821235299,0.999744296,-5.302174091,0.316167419,0.01888036,-3.464788198
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,in an analog signal lrb rrb is the output of a serial port lrb or transistor rrb that is connected to a random port.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,12,0.609679982,0.843211889,-4.356532574,0.669161246,0.997556448,-1.368359447
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are known to be known as the german ratchetz lrb also known as german schlozen rrb. it is thought to have been invented by person who was known as ratchets.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,13,0.756384952,0.991897106,-4.172151089,0.599540273,0.077601641,-3.130821705
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in budapest hungary and was born on november.,Henryk started to learn the piano from his mother when he was five.,14,0.339322847,0.000880392,-5.225175381,0.840130383,0.999315143,-3.533702374
a.k.a. Pro Player Park LRB RRB ,park lrb born rrb is a former japanese football player.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.,15,0.858766019,0.998293579,-4.643130302,0.814329445,0.003990107,-4.749712944
He published partial research results in a NUMBER book.,he published a number of papers in a number number published in number.,He published some of his research in a NUMBER book.,16,0.935288727,0.281952918,-3.728645563,0.932265382,0.960930467,-1.973982692
