source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty
"simplify: There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","['There are many important elevations in the Grison Alps, including the Tödi at and the highest peak, Piz Bernina at.']","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .",0,0.855377294
"simplify: Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .","['Horst K ppel -LRB- born 17 May, 1948 -RRB- is a former German football player.']",Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,1,0.371942273
"simplify: PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .","[""PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player.""]","PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",2,0.415816027
"simplify: There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","['There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefringence -RRB-.']",Different phases are different because their optical properties are different .,3,0.913890943
"simplify: Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","[""Producer and screenwriter PERSON@1 is the novel's author's son, and his name was featured on the dedication page.""]",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,4,0.861862548
simplify: A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,['A peasant in England claims that Saint Julian took him on a tour of Purgatory.'],Births,5,0.767213531
simplify: is a video game based on Dancing with the Stars .,['Dancing with the Stars is a video game made for Dancing with the Stars.'],Jive,6,0.90744555
"simplify: Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .","['Dr. Gregory House -LRB- Hugh Laurie -RRB-, the title character, heads the Department of Diagnostic Medicine.']",Head of the Department of Diagnostic Medicine .,7,0.889824899
"simplify: It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","[""It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- and ended about NUMBER@3 billion years ago.""]","It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",8,0.571736481
"simplify: The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .",['The Attitude Era was a period in the World Wrestling Federation -LRB- WWF -RRB- and professional wrestling history.'],"December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",9,0.247007583
