,source_sentence,simplified_sentence,dae_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,in the canton of ticino the swiss alps are the highest mountains in switzerland. it is the highest peak of the swiss swiss alps in switzerland and switzerland.,0.8714224100112915
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb in saxony rrb and is a former german football player. he is the current manager of stuttgart f c. lrb born march rrb.,0.999808669090271
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,0.9997844696044922
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,this is made of two different types of crystal structures lrb i rrb and silicae rrb which can be made up of different colors of light.,0.9990404844284058
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s script was written and written by person. it was written by writer person and person s brother person.,0.8439568281173706
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in the th century he wrote a poem about him. he said that he was fond of him and brought him a body of gold.,0.0014860695227980614
6,is a video game based on Dancing with the Stars.,the video is about the dancing part of the video with the stars dancing on the ice.,0.9995322227478027
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,richard stone lrb born march rrb is an american psychiatrist. he works as a psychiatrist.,0.6139208078384399
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,on number january number number bc there was about number million years old and number billion years ago.,0.012036683969199657
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling entertainment lrb wwe rrb was a professional wrestling pay per view event that was held in the world wide wrestling entertainment world championship wrestling lrb wcw rrb during the world heavyweight championship between the world championship and world wrestling federation lrb wwf rrb.,0.9957868456840515
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the name of the province is derived from the latin name for the central location which is the most common area of the eastern hemisphere of the world. this includes the southern part of location and the northern parts of the united states.,0.999154269695282
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,0.9997442960739136
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a port lrb or port address rrb is a type of data port. this means the transfer of data between a computer in a single port.,0.9996138215065002
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the german pows are known to be called the pows or pows lrb german for german slang rrb. they are known as german powies because they are called pows in german and german.,0.9989282488822937
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in new york city and was the first organist of the school of organ lessons at the age of.,0.9350767731666565
15,a.k.a. Pro Player Park LRB RRB ,person lrb born march rrb is a professional basketball player who plays for organization.,0.9998254776000977
16,He published partial research results in a NUMBER book.,in number he published a book about his work in number.,0.9529263377189636
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born january number number rrb was a spanish writer and poet. he was the father of person s son and only child of the spanish revolutionary war.,0.9992094039916992
18,He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team lrb born july rrb.,0.002743405755609274
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,after the war the government of location has made an increase in the security of the organization. this will help the people of location.,0.9973897933959961
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in the early th century the term consputations is used to refer to a certain group of philosophers such as person and person who did not want to be known as a philosopher.,0.10353628545999527
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is a chemical compound. it is made by reacting mercury oxide and nitroxide.,0.978528618812561
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,a tag team lrb or tag team rrb is a team of two or more tag team teams. it is one of the two main tag teams.,0.9995981454849243
23,One day when the pianist failed to arrive by show time PERSON took his place.,in number person returned to location but he refused to return to the location.,0.00020389421842992306
24,His replacement was PERSON leaving the band with the line up they retain.,person joined the band in number after the band left the band.,0.9786911010742188
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,number person lrb number rrb was an american animator who was one of the most famous animators of all time. he was the first person to make a movie with a person.,0.09281598776578903
26,He bled to death after about an hour.,he died on september number number and was buried in a cemetery at the age of.,0.00012971820251550525
27,The first inhabitants settled in the territory of today s Ain about B.C..,in the th century the first people lived in the area. the people lived here in the northwest of the location.,0.9997388124465942
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in the american academy award for best actor in the united states it won an academy award in category for best original screenplay and won an emmy award for the movie the american star of the year in the same year.,0.9890773892402649
