,source_sentence,simplified_sentence,dae_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,the highest mountain in the swiss alps is the klara glarus.,0.998349666595459
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb lrb born november rrb in location rrb.,0.7137607932090759
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a former dutch football player.,0.9935529828071594
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,they are made of different materials.,0.0012435843236744404
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s father s name was person. he is the son of person.,0.04000731185078621
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,the births of births are listed below.,5.5860149586806074e-05
6,is a video game based on Dancing with the Stars.,the second season of the show the spinoff spinoff was a series.,0.00037211517337709665
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the department of medicine is the head of the department for psychiatry.,0.09874916821718216
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,it is the oldest and oldest at number km lrb number km rrb.,0.839343249797821
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,in december person announced that person would take over as head of the wwe championship from person to person on july number number.,0.0005754534504376352
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the largest continent of the world is the location lrb location rrb which includes the continents of the continents.,0.9997361898422241
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,location is a city of location in location.,0.0005054975626990199
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a serial transmission is the transmission of a serial port. it is used to transfer data between computers.,0.9798128604888916
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the location is a breed of dog from location.,0.0034322168212383986
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in location. he was the youngest child of the family when he was six.,0.0014000538503751159
15,a.k.a. Pro Player Park LRB RRB ,the organization are a team in the organization in location.,0.0055962190963327885
16,He published partial research results in a NUMBER book.,he published several books in the field of history and in number.,0.9686068892478943
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born december number number rrb was a spanish writer and poet.,0.9272457361221313
18,He currently plays for the Japanese team Yokohama F. Marinos.,he is also an honorary doctor of arts from the japanese national football team.,0.0015396870439872146
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,in number there were number people who were americans.,8.482092380290851e-05
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,the platonic school of philosophy is a type of philosophy which is thought to be too platonists or social sciences.,0.9990987181663513
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is found in the chemical formula ca. it is the chemical compound of sulfur.,0.7188859581947327
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,they are a team of wrestlers lrb or teams rrb.,0.9961718916893005
23,One day when the pianist failed to arrive by show time PERSON took his place.,person played the piano when he was playing.,0.23240871727466583
24,His replacement was PERSON leaving the band with the line up they retain.,person was replaced by person. person became the replacement for person and person became person.,0.028805308043956757
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,he started the organization in number and he started a team called the organization.,0.0030662657227367163
26,He bled to death after about an hour.,after the last minutes of the match person collapsed and died.,0.7246211171150208
27,The first inhabitants settled in the territory of today s Ain about B.C..,the inhabitants of the area were converted to christianity in the th century.,0.00863973144441843
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in it won an emmy award for best television drama in the united kingdom and the academy award in the category british television drama.,0.999602198600769
29,The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,the number grand prix was a race held at location in the location.,0.7448015213012695
