source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,in the canton of ticino the swiss alps are the highest mountains in switzerland. it is the highest peak of the swiss swiss alps in switzerland and switzerland.,There are many important peaks in the Grison Alps including the T di at meters and the highest peak Piz Bernina at meters.,0,0.920069695,0.87142241,-3.385997057,0.854569613,0.962026358,-1.677680254
Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he was born in lrb rrb in saxony rrb and is a former german football player. he is the current manager of stuttgart f c. lrb born march rrb.,Horst K ppel LRB born May RRB is a former German football player.,1,0.775666157,0.999808669,-4.544538498,0.388560222,0.999825418,-1.929749608
PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number may number rrb is a dutch football player. he plays for location national team.,PERSON LRB born NUMBER March NUMBER RRB is a Dutch football player.,2,0.524381811,0.99978447,-4.304008007,0.595498847,0.990742862,-1.966666698
There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,this is made of two different types of crystal structures lrb i rrb and silicae rrb which can be made up of different colors of light.,Different phases are different because their optical properties are different.,3,0.928639717,0.999040484,-4.483029842,0.832436927,0.997089386,-3.366828918
Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s script was written and written by person. it was written by writer person and person s brother person.,Producer and screenwriter PERSON is the novel s author s son. His name was featured on its dedication page.,4,0.935526013,0.843956828,-4.371121883,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,in the th century he wrote a poem about him. he said that he was fond of him and brought him a body of gold.,Births,5,0.98240757,0.00148607,-4.070727825,0.666370006,0,-7.810195446
is a video game based on Dancing with the Stars.,the video is about the dancing part of the video with the stars dancing on the ice.,Jive,6,0.90744555,0.999532223,-4.064111233,0.750609807,0,-8.411913872
Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,richard stone lrb born march rrb is an american psychiatrist. he works as a psychiatrist.,Head of the Department of Diagnostic Medicine.,7,0.838806402,0.613920808,-5.384550571,0.699715314,0.797706306,-1.866250515
It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,on number january number number bc there was about number million years old and number billion years ago.,It began at the LOCATION s formation about NUMBER billion years ago LRB NUMBER mya RRB and ended NUMBER billion years ago.,8,0.489172454,0.012036684,-5.347911358,0.618066695,0.994385719,-1.498873353
The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world wrestling entertainment lrb wwe rrb was a professional wrestling pay per view event that was held in the world wide wrestling entertainment world championship wrestling lrb wcw rrb during the world heavyweight championship between the world championship and world wrestling federation lrb wwf rrb.,December NUMBER NUMBER During this episode of Raw Stone Cold PERSON knocks ORGANIZATION Chairman PERSON off the ring thus entering the Austin McMahon saga.,9,0.687249138,0.995786846,-4.526688576,0.748192222,0,-5.156509876
