source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","The Grison Alps have many high mountains, including the Tödi at and the highest Piz Bernina.","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .",0,0.717342474,0.995590985,-1.180437088,0.854569613,0.962026358,-1.677680254
"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst K ppel -LRB- born 17 May 1948 -RRB- is a former football player.,Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,1,0.335971678,0.999569297,-1.80919981,0.388560222,0.999825418,-1.929749608
"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .",PERSON@3 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player.,"PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",2,0.336682379,0.981334746,-1.303445339,0.595498847,0.990742862,-1.966666698
"There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefring -RRB-.",Different phases are different because their optical properties are different .,3,0.923703174,0.924031973,-0.858002841,0.832436927,0.997089386,-3.366828918
"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","Producer and screenwriter PERSON@1 is the novel's son, and his name was featured on its dedication page.",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,4,0.831578679,0.988660693,-0.625182867,0.961823617,0.945085585,-0.922254682
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,Births,5,0.972066438,0.999935985,-0.207494244,0.666370006,0.0,-7.810195446
is a video game based on Dancing with the Stars .,It is based on the game Dancing with the Stars.,Jive,6,0.870406956,0.798673332,-1.808474302,0.750609807,0.0,-8.411913872
"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .","Dr. Gregory House -LRB- Hugh Laurie -RRB-, the title character, heads the Department of Diagnostic Medicine.",Head of the Department of Diagnostic Medicine .,7,0.935346829,0.999921799,-0.635191143,0.699715314,0.797706306,-1.866250515
"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .",It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-.,"It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",8,0.399660453,0.99531585,-0.631421328,0.618066695,0.994385719,-1.498873353
"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .",The Attitude Era was a period in the World Wrestling Federation -LRB- WWF -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars.,"December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",9,0.361350379,0.0,-0.517920196,0.748192222,0.0,-5.156509876
