source_sentence,gold_sentence,pred
"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","There are many important peaks in the Grison Alps , including the Tödi at 3,614 meters and the highest peak Piz Bernina at 4,049 meters .","The Grison Alps have many high mountains, including the Tödi at and the highest Piz Bernina."
"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .",Horst KÃ ppel -LRB- born 17 May 1948 -RRB- is a former German football player .,Horst K ppel -LRB- born 17 May 1948 -RRB- is a former football player.
"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .","PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a Dutch football player .",PERSON@3 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player.
"There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .",Different phases are different because their optical properties are different .,"There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefring -RRB-."
"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .",Producer and screenwriter PERSON@1 is the novel 's author 's son . His name was featured on its dedication page .,"Producer and screenwriter PERSON@1 is the novel's son, and his name was featured on its dedication page."
A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,Births,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.
is a video game based on Dancing with the Stars .,Jive,It is based on the game Dancing with the Stars.
"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .",Head of the Department of Diagnostic Medicine .,"Dr. Gregory House -LRB- Hugh Laurie -RRB-, the title character, heads the Department of Diagnostic Medicine."
"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","It began at the LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@4 mya -RRB- , and ended NUMBER@3 billion years ago .",It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB-.
"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .","December NUMBER@2 , NUMBER@3 -- During this episode of Raw , Stone Cold PERSON@1 knocks ORGANIZATION@1 Chairman PERSON@2 off the ring , thus entering the Austin\/McMahon saga .",The Attitude Era was a period in the World Wrestling Federation -LRB- WWF -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars.
"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .","The name Laurasia comes from the North American continent, Laurentia -LRB- Baltica, Siberia, Kazakhstania, and the North China and East China cratons."
"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",LOCATION@1 is twinned with :,It is found in the region Nord in the Nord department in the north of LOCATION@2.
"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing , a serial port is a serial communication physical interface through which information transfers , either in or out , one bit at a time -LRB- in contrast with parallel port -RRB- .","In computing, a serial port is a physical interface used to transfer information between bits."
"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .",The Pomeranian is a dog from LOCATION@1 -LRB- in LOCATION@2 and LOCATION@3 -RRB- .,It is part of the German Spitz breed.
"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .",Henryk started to learn the piano from his mother when he was five .,Henryk started playing the piano and harmony when he was 5.
a.k.a. Pro Player Park -LRB- -RRB-,"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",Pro Player Park -LRB- -RRB-
He published partial research results in a NUMBER@1 book .,He published some of his research in a NUMBER@1 book .,He published some of his research results in a NUMBER@1 book.
"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a nobleman, politician and writer of the Baroque era."
He currently plays for the Japanese team Yokohama F. Marinos .,Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,He plays for Yokohama F. Marinos.
More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,"There were NUMBER@1 American military people , but now there are about NUMBER@2 .",More decreases are planned in the future as the LOCATION@1 hands more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.
"In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","In modern usage , sophism , sophist , and sophistry are derogatory terms , due the influence of many philosophers in the past -LRB- sophism and platonism were enemy schools -RRB- .","In modern usage, sophism, sophist, and sophistry are derogatory terms, because of the influence of past philosophers."
"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .",Cadmium iodide is a chemical compound . Its chemical formula is CdI2 .,Cadmium iodide -LRB- CdI2 -RRB- is a chemical compound of cadmium and iodine.
