,source_sentence,pred,bart_score
0,"There are many significant elevations in the Grison Alps , including the Tödi at and the highest peak Piz Bernina at .","'There are many important elevations in the Grison Alps, including the Tödi at and the highest peak, Piz Bernina at.",-1.058947086
1,"Horst KÃ ppel -LRB- born on May 17 , 1948 in Stuttgart , Germany -RRB- is a German football manager and former player , who last worked as Head coach for FC Ingolstadt 04 .","'Horst K ppel -LRB- born 17 May, 1948 -RRB- is a former German football player.",-2.029433489
2,"PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a Dutch footballer who is a striker for ORGANIZATION@1 and has been capped for the LOCATION@2 .","""PERSON@1 '' Roy '' PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Dutch football player.",-0.865552425
3,"There are many different types of LC phases , which can be distinguished by their different optical properties -LRB- such as birefringence -RRB- .","'There are many different types of LC phases, which can be distinguished by their different optical properties -LRB- such as birefringence -RRB-.",-0.883391023
4,"Producer and screenwriter PERSON@1 is the novel 's author 's son , and his name was featured on its dedication page .","""Producer and screenwriter PERSON@1 is the novel's author's son, and his name was featured on the dedication page.",-1.221489668
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory .,'A peasant in England claims that Saint Julian took him on a tour of Purgatory.,-1.02628994
6,is a video game based on Dancing with the Stars .,'Dancing with the Stars is a video game made for Dancing with the Stars.,-1.622475266
7,"Dr. Gregory House -LRB- Hugh Laurie -RRB- , the title character , heads the Department of Diagnostic Medicine .","'Dr. Gregory House -LRB- Hugh Laurie -RRB-, the title character, heads the Department of Diagnostic Medicine.",-1.009232521
8,"It started at LOCATION@1 's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- , and ended roughly NUMBER@3 billion years ago , though the latter date varies according to different sources .","""It started at LOCATION@1's formation about NUMBER@1 billion years ago -LRB- NUMBER@2 Ma -RRB- and ended about NUMBER@3 billion years ago.",-0.717067838
9,"The Attitude Era was a period in World Wrestling Federation -LRB- WWF -RRB- -LRB- known now as World Wrestling Entertainment or WWE -RRB- and professional wrestling history that began as a direct result of the Monday Night Wars , a television ratings conflict between the ORGANIZATION@1 and long time promotion World Championship Wrestling -LRB- WCW -RRB- , and culminated at the conclusion of the wars in NUMBER@1 .",'The Attitude Era was a period in the World Wrestling Federation -LRB- WWF -RRB- and professional wrestling history.,-1.117654443
10,"The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","""The name '' Laurasia '' means the landmasses which make up today's continents of the Northern Hemisphere.",-2.155838251
11,"LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",'LOCATION@1 is a commune of the Nord department in the northern part of LOCATION@2.,-2.365980148
12,"In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","'In computing, a serial port is a physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB-.",-0.967899323
13,"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .",'It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed.,-0.855488956
14,"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","'He started piano and harmony training with his mother when he was 5. When he was 7, he learned the violin.",-1.284530401
15,a.k.a. Pro Player Park -LRB- -RRB-,'Pro Player Park -LRB- -RRB-,-1.547401428
16,He published partial research results in a NUMBER@1 book .,'He published part of his research in a NUMBER@1 book.,-1.588891029
