,source_sentence,simplified_sentence,dae_score_pred
0,There are many significant elevations in the Grison Alps including the T di at and the highest peak Piz Bernina at.,there are many mountains in the canton of berna in switzerland and the highest mountains in switzerland.,0.8657491207122803
1,Horst K ppel LRB born on May in Stuttgart Germany RRB is a German football manager and former player who last worked as Head coach for FC Ingolstadt.,he is a former german football player. he has played for stuttgart f c. c. lrb b. rrb.,0.9952736496925354
2,PERSON Roy PERSON LRB born NUMBER March NUMBER in LOCATION LOCATION RRB is a Dutch footballer who is a striker for ORGANIZATION and has been capped for the LOCATION.,person lrb born number march number rrb is a dutch football player. he plays for organization and location national team.,0.9999262094497681
3,There are many different types of LC phases which can be distinguished by their different optical properties LRB such as birefringence RRB.,many different types of optical fibers are possible to be made of two different kinds of air molecules lrb i rrb which can be made up of different colors rrb.,0.9983187913894653
4,Producer and screenwriter PERSON is the novel s author s son and his name was featured on its dedication page.,person s son is person. he is the author of the film person s end.,0.999634325504303
5,A peasant named Thurkhill in England claims that Saint Julian took him on a tour of Purgatory.,he spent much of his life in the th century and died of a heart attack in london.,0.00018312122847419232
6,is a video game based on Dancing with the Stars.,it is a dance of dancing with dancing on the dancing floor.,0.11334691196680069
7,Dr. Gregory House LRB Hugh Laurie RRB the title character heads the Department of Diagnostic Medicine.,the house of medicine is a house of the housewives.,0.0008552722283639014
8,It started at LOCATION s formation about NUMBER billion years ago LRB NUMBER Ma RRB and ended roughly NUMBER billion years ago though the latter date varies according to different sources.,after about number years old it started forming around number km lrb number billion years ago rrb.,0.9824211597442627
9,The Attitude Era was a period in World Wrestling Federation LRB WWF RRB LRB known now as World Wrestling Entertainment or WWE RRB and professional wrestling history that began as a direct result of the Monday Night Wars a television ratings conflict between the ORGANIZATION and long time promotion World Championship Wrestling LRB WCW RRB and culminated at the conclusion of the wars in NUMBER.,the world heavyweight championship lrb wwe rrb was a professional wrestling event in the world wrestling entertainment lrb organization rrb.,0.9952206015586853
10,The name combines the names of Laurentia the name given to the North American craton and Eurasia. As suggested by the geologic naming Laurasia included most of the landmasses which make up today s continents of the Northern Hemisphere chiefly Laurentia LRB i.e. the core North American continent RRB Baltica Siberia Kazakhstania and the North China and East China cratons.,the northern part of the world is called the northern hemisphere lrb also called the north and northern hemispheres rrb.,0.9995031356811523
11,LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,it is found in the region nord pas de calais in the location department in the north of location.,0.9997442960739136
12,In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a connection is a connection between a connection and a serial port lrb usually called a serial connection rrb.,0.9581413865089417
13,It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are named after the german shepherd person lrb also called person rrb. they are also known as the person or person.,0.9986448884010315
14,Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,when he was six he began singing lessons and singing lessons at the age of four.,0.9480869770050049
15,a.k.a. Pro Player Park LRB RRB ,park park park lrb park rrb,0.6225829124450684
16,He published partial research results in a NUMBER book.,he published a number number papers in number.,0.2177637815475464
17,PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb number september number number rrb was a spanish writer and poet. he lived in location.,0.9891080260276794
18,He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team. he currently plays for yokohama marinos.,0.8291034698486328
19,More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,in the future the organization will help the organization keep the weight of the organization and keeps the organization safe.,0.9984444975852966
20,In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in modern usage the term is used to describe a group of philosophers such as person and person who have been called the phenomists.,0.9998196363449097
21,Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is a chemical compound. it is used as a lead metal compound. this chemical compound is a metal.,0.003927999641746283
22,In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,in wrestling lrb also known as tag team lrb tag team rrb is a group of tag team matches that are one or more in one or two or more teams.,0.9998801946640015
23,One day when the pianist failed to arrive by show time PERSON took his place.,when person returned to location he failed to arrive at the location show. person did not appear.,0.9638975262641907
24,His replacement was PERSON leaving the band with the line up they retain.,person later joined the band as a replacement for person who had left the band.,0.9998968839645386
25,According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,organization number number person lrb number rrb person s most famous movie was the organization s creation of a ball.,0.9280356168746948
26,He bled to death after about an hour.,he died at the end of his life and was buried dead.,0.005703500937670469
27,The first inhabitants settled in the territory of today s Ain about B.C..,after the discovery of the inhabitants of the ain valley started living in the area of today.,0.9998809099197388
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in it won an academy award for best original play in the united states and the american academy award in the category of drama.,0.9962316155433655
29,The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,the organization lrb number number rrb was a formula one formula one race held at the organization in location location. it was one of the number formula one races in location.,0.7085458636283875
30,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,they are the company of the famous american television series of the late s. they were made by the company company of japan.,0.060381874442100525
31,Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,person lrb rrb is a town in the district of location in the west of location location.,0.44151002168655396
32,For example many different things can be red.,they can also be colored as black or red.,0.9891722798347473
33,Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,it was released in canada on june in canada and on the united states.,0.7705065608024597
34,Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born on june number number in location location.,0.8559274077415466
35,The second place rider PERSON became the race s official winner.,the person won the race and person became the first person to win the race. person was named the first team of the season.,0.9994223713874817
36,Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,the county cricket club is a football club which plays in the county premier league in england.,0.7463058829307556
37,Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,he wrote an essay on greek philosophy lrb greek latin latin translation rrb as a study of greek philosophy and latin as a critique of latin philosophy.,0.9985448122024536
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,the town has been in the history of the location in the time of person.,0.17124803364276886
39,In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in a study of a group of zoologist volunteers told the researchers that they found a species of camels in the region held by the indonesia s unscilaterales.,0.9999037384986877
40,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,the waterhole lrb also called hot water lake rrb is a type of hydrothermal vent that is filled with water and water from the interior of the ocean.,0.9997308254241943
41,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,the result of the original algorithm is that the original data is retrieved from the original source and the resulting result is not available as the original original information is retrieved.,0.023135468363761902
42,The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,the lake is a lake in the location province of romania. it is one of the largest lakes in the world.,0.9975699186325073
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were inspired by the beatles and the beatles. they were influenced by the bands punk rock and punk bands.,0.9990131855010986
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,the first olympic games were held in the location. the first was organized in.,0.8131523728370667
45,The actual confidence interval is calculated by entering the measured masses in the formula.,the formula is usually calculated using the formula which is calculated from the data taken from the measurement. the calculated formula is then known as the confidence in.,0.5939457416534424
46,If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,if you do not get back to the correct time they do not try to do n t and if they do it n t do it.,0.7163724303245544
47,In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,person and person wrote the screenplay for the movie starring person. person was also credited in the screenplay.,0.013978918083012104
48,Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,lininho lrb born july rrb is a former brazilian football player.,0.9997786283493042
49,PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,person is the eldest daughter of person and the second oldest daughter of the person.,0.7776755094528198
50,He has reported for Independent Television News LRB ITN RRB.,he has written for the bbc on the bbc.,0.5040655732154846
51,LOCATION is a chemical element with the symbol Sg and atomic number NUMBER.,location is a number number atomic number symbol or number.,0.41667047142982483
52, There is her little Balochi style face with pouting lips and insolent look in the eyes.,she likes her hair and her hair in front of her face. she wears a white hat and a red hat.,0.7663625478744507
53,For example if the frequency of an allele is in a given population then among population members one in five chromosomes will carry that allele.,if there is one of the above numbers there may be one of them. this is because there is more than one single of the chromosomes in an organism that has two chromosomes.,0.8523145914077759
54,A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while varying pressure temperature and other state variables eventually returning a system to its initial state.,thermodynamic equilibrium is the transfer of heat and heat from a system of two processes to the same time.,0.9991758465766907
55,Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place were she worked.,she is most famous for her work in the location. she was the daughter of person lrb person rrb.,0.9998363852500916
56,She later held the title of Duchess of Teck by marriage.,she became the wife of the duke of torgo.,0.9943550229072571
